string2 0,string 1
main_060_090_020,"Эти враждебные Дигимоны опасны для людей, но Дигимоны, рождённые
через Конверсию, не проявляют таких черт."
main_060_090_030,"Подземка Синдзюку - это логово враждебных Дигимонов, но тот, за
которым ты следишь, ведёт себя иначе. Может, мы получим
достоверные данные."
main_060_090_040,"Все эти враждебные Дигимоны находятся в подземке Синдзюку с тех
самых пор, восемь лет назад."
main_060_090_050,"Эти Дигимоны, вероятно, связаны и с Адом Синдзюку. Сообщай о
любых находках, Агент {player}."
main_060_090_060,"Насчёт ОккультТокио ТВ, о котором шла речь... По данным видно,
что за восемь лет число его подписчиков выросло до двух
миллионов."
main_060_090_070,"Похоже, оно начало расти... да, как раз около восьми лет назад.
Возможно, именно съёмки, проходящие сейчас, и вызвали этот рост."
main_070_010_010,Ты проснулся? Вставай и пой!
main_070_010_011,"У меня сегодня школа, так что я ушла пораньше. Завтрак на столе.
Угощайся!"
main_070_010_012,"И, пожалуйста, присмотри за Эгиомоном, пока меня нет, хорошо?"
main_070_020_010,"Именно ты находишься на земле в том мире, так что мне придётся
оставить все решения на месте на тебя."
main_070_020_011,"Только не забывай о важном. Через восемь лет всё, что ты видишь
там сейчас, будет в руинах."
main_070_020_012,"Мы примем любую зацепку, которая поможет предотвратить
будущую катастрофу, какой бы незначительной она ни казалась."
main_070_020_013,"Я рассчитываю на тебя, Агент {player}."
main_070_040_010,"Возможно, неплохой идеей будет примкнуть к экспериментам
общественной безопасности. Мы тоже хотим больше информации о
Дигимонах."
main_070_040_011,Ведь Дигимоны как-то связаны с грядущим Адом Синдзюку.
main_070_040_012,"Эта отвратительная аномалия, которая приносит апокалипсис...
Исследование Дигимонов - наш единственный путь к истине."
main_070_090_010,"Когда я вернулась из школы, дом был пуст. Куда все ушли? И не
сказав мне?!"
main_070_090_011,"Хмпф! Тогда я съем все эти закуски сама, наверное."
main_080_060_010,Ну! Вот это даёт повод для раздумий.
main_080_060_011,"База данных АДАМАС определённо получает свежие обновления
сейчас!"
main_080_060_012,"Ключ явно в тех аномалиях класса А... Не упускай из виду
Эгиомона или Инори Мисоно."
main_080_060_013,"Куда бы они ни направлялись, можешь быть уверен, что там будут
появляться новые аномалии."
main_080_060_014,Может ли быть связь с Адом Синдзюку? Продолжай расследование.
main_090_060_010,"Тот Дигимон упомянул ""наш мир"", не так ли?"
main_090_060_011,Только подумай о значимости этих слов...!
main_090_060_012,"Боже мой. Всё, что мы когда-либо думали, что знаем, разбивается
на кусочки."
main_090_080_010,"Ты сейчас смотрел телевизор?! Что это вообще было? На секунду в
этой трансляции появилось что-то довольно жуткое...!"
main_090_080_011,"А теперь они просто пытаются сделать вид, что ничего не было?!
Вау! Это жесть..."
main_090_080_012,Моё чутьё на сенсации щекочет!
main_090_080_013,"Я пойду сниму материал для следующего обновления. Жди с
нетерпением!"
main_100_050_010,"Внешние подземелья? Аномальные явления продолжают поступать...
Но нет времени глазеть. Это отличный шанс собрать информацию..."
main_100_050_011,"Продолжай расследование. Нам нужно приблизиться к истине,
стоящей за аномалией, которая означает конец всего - Аду
Синдзюку."
main_100_050_012,"...Информация, которая может приблизить нас к истине, стоящей за
аномалией, которая означает конец всего - Аду Синдзюку."
main_03_351_0,"Наша единственная зацепка - это тот Дигимон. Преследуй его и
захвати."
main_110_030_010,"Тёмная тень, хм? Звучит знакомо? Мы видели одну на крыше
Токийского столичного правительства как раз перед Адом Синдзюку."
main_110_030_011,"Это может быть связано с аномалиями, которые его вызывают."
main_110_030_012,Предоставь мне подробный отчёт об обстановке.
main_120_090_010,"Судя по реакциям Дигимонов... кажется, они уже знали о
существовании людей."
main_120_090_011,"Как и ты, другие люди, должно быть, случайно проскользнули в тот
мир в прошлом. Один этот факт объяснил бы несколько аномалий...!"
main_130_030_010,Ты в порядке? Мы на мгновение потеряли связь.
main_130_030_011,Что случилось? Я ожидаю подробного отчёта позже.
main_150_010_010,"Факториальная зона... Что-то вроде промышленной зоны для
Цифрового мира?"
main_150_010_011,"И я вижу, конфликт между тамошними Дигимонами стал довольно
серьёзным. Может, это похоже на ситуацию восьмилетней давности?"
main_170_010_010,"В Цифровом Мире есть своё море? Я представляю, что некоторые из
наблюдений русалок на протяжении веков на самом деле были
Дигимонами..."
main_170_010_011,"Доктору Юки бы понравилось это место, знай он о нём. Твой
приёмный отец посвятил свою жизнь разгадыванию аномальных
явлений."
main_170_010_012,"И в конце концов... сам доктор пропал без вести из-за такой
аномалии. Почти нельзя не восхищаться замкнувшимся кругом его
жизни."
main_170_010_013,"Не было бы иронично, если бы он попал в Цифровой мир и просто
остался там продолжать свои исследования..."
main_180_010_010,"Из того, что я слышал, Инори Мисоно и её отец потеряли членов
семьи из-за аномалии. Должно быть, это было довольно тяжело."
main_180_010_011,"Бьюсь об заклад, ты помнишь таинственное исчезновение твоего
собственного приёмного отца. Существует отчётливая возможность,
что доктор Юки оказался там, в том мире."
main_180_010_012,"Это лишь слабая надежда. Тем не менее, вероятно, хорошая идея
держать это в уме."
main_200_030_010,"Показания врага зашкаливают. Похоже, Титаны повсюду на
поверхности."
main_200_030_011,"Я отправлю тебе подземный маршрут, где нет врагов. Оттуда ты
сможешь подняться на Перекрёстке Надземного Моста и собрать
информацию."
main_210_010_010,"Чтобы направиться к зданию правительства, куда упало сокровище,
тебе нужно разобраться с Титанами на поверхности."
main_210_010_011,"Кажется, у Др. Симмонс есть умная идея... Возможно, лучше
работать вместе."
main_210_010_020,"Многочисленные показания врага... Должно быть, это Титаны. Тебе
лучше хорошо подготовиться, прежде чем двигаться вперёд."
main_210_020_010,"Я обновил твою карту. Похоже, ты можешь спуститься под землю
через ближайший люк."
main_210_020_020,"Я засекаю сигналы связи впереди... Возможно, это люди из
общественной безопасности."
main_210_020_030,"Это определённо звучало так, будто идёт бой. Возможно, офицеры
общественной безопасности под атакой."
main_210_020_040,"Похоже, поверхность специально забаррикадирована, чтобы
предотвратить вторжение Титанов."
main_210_020_041,"Наш анализ показывает, что это очень похоже на лабиринт.
Следовательно, самый эффективный путь, скорее всего, пролегает
под землёй."
main_210_020_050,"Она упомянула базу на станции Хигаси-Синдзюку? Вероятно, она в
депо метро. Я отметил место на твоей карте."
main_210_020_060,"Показания данных в окружающей области значительно меняются.
Может, это Дигимоны? Что-то должно произойти."
main_210_020_070,"Эти показания свидетельствуют о значительной подземной
активности враждебных Дигимонов. Кажется, они двигаются, но
куда?"
main_210_020_080,"Показания Дигимонов приближаются к генератору электромагнитной
сети."
main_210_020_081,Все там в опасности! Ты должен поторопиться!
main_210_020_090,"Обнаружено огромное количество враждебных Дигимонов! Разберись с
угрозой, пока не стало слишком поздно."
main_210_020_100,"Генераторы электромагнитной сети замедлили движение показаний
врага."
main_210_020_101,"Генераторы, по-видимому, испускают электромагнитные волны,
которые мешают фазовым электронам... Мозг Др. Симмонс - это
нечто иное."
main_210_020_110,"Дигимоны распространяются в поверхностные районы, а люди
укрываются под землёй."
main_210_020_111,"Прямо противоположная ситуация, когда ты впервые пришёл сюда.
Какая ирония!"
main_210_020_120,Небо странного цвета...
main_210_020_121,"Может, это эффект от открытия врат? Или, возможно, из-за
массового притока Дигимонов?"
main_210_020_122,"Может, поэтому Юномон так не решалась открывать врата."
main_210_020_130,"Интересно, как люди восприняли вид падающих с неба Дигимонов..."
main_210_020_131,"Возможно, так рождались мифы и фольклор."
main_210_020_132,"Люди в прошлом, возможно, представляли божеств или существ из
фольклора, если бы стали свидетелями такой сцены."
main_210_020_140,"Я анализирую данные, которые ты присылаешь."
main_210_020_141,"Некоторые данные показывают аномальные значения... как будто
пространство-время нарушено."
main_210_020_142,В такие времена и происходят аномалии...
main_210_020_150,"Сокровище упало в сторону Токийского столичного правительства в
Ниси-Синдзюку."
main_210_020_151,Я обновил твою карту. Направляйся к зданию правительства.
main_210_030_010,"Переход к враждебности у этих Дигимонов... Я не думал, что такое
превращение возможно."
main_210_030_020,"Враждебная природа Дигимонов может исходить из интенсивного
защитного инстинкта."
main_210_030_030,"Возможно, это похоже на гиперактивную иммунную систему. Если
Дигимоны - это антитела, может ли оказаться, что мы..."
main_210_030_040,"...инородное вещество, сеющее хаос в мире...? Это может быть
ближе к истине, чем нам хотелось бы... Выйди на улицу и посмотри
вверх."
main_210_030_050,">Оператор Мы наблюдаем странное изменение неба. Может ли это
быть из-за эффекта путешествий туда и обратно через
пространство-время?"
main_230_010_010,"Та история ""Рип Ван Винкль"", упомянутая только что, возможно, на
самом деле произошла от аномалии."
main_230_010_011,"Когда ты вернулся в реальный мир после посещения Цифрового
Мира..."
main_230_010_012,"...прошёл большой промежуток времени, прямо как в той истории.
Это не может быть совпадением."
main_235_040_010,"Что касается Доктора Юки... Что ж, только сейчас мы можем
объяснить его исчезновение. Ведь теперь и мы пережили нарушение
пространства и времени."
main_235_040_011,"Все точки начинают соединяться, не отрицаю этого. Может, есть
даже способ найти доктора..."
main_235_040_012,"Ты бы хотел снова увидеть своего приёмного отца, не так ли? Я
надеялся помочь осуществить это, если бы мог..."
main_235_040_013,"...но боюсь, что мир на этой стороне исчерпывает время."
main_250_040_010,"Те, кто проиграет в конфликте, потеряют всё."
main_250_040_011,"Это придаёт ещё больше веса словам Меркуримона о том, что им не
остаётся ничего, кроме как сопротивляться."
main_250_040_012,"Это чувство... несомненно, сделает этот конфликт ещё более
интенсивным."
main_250_050_010,Ланамон... Умеренные Титаны...
main_250_050_011,Не все хотят сражаться. То же самое можно сказать о любой войне.
main_250_050_012,"Но тот факт, что войны всё равно происходят, означает, что
трагедия... скорее всего, повторится."
main_260_050_010,"Так что, полагаю, это похоже на возвращение из царства сна в
истории ""Рип Ван Винкль"". Ты мог бы даже написать продолжение
после всего, что пережил."
main_260_050_011,"Человеческий мир и Цифровой мир, кажется, оказывают взаимное
влияние друг на друга. Наша статистика показывает, что во
времена социальных беспорядков наблюдается рост аномалий."
main_260_050_012,"Но если аномалии на самом деле связаны с Дигимонами, ассоциация
начинает размываться. Если бы мы только могли понять принципы,
стоящие за всем этим, мы могли бы взорвать всё это дело."
main_260_050_013,"Возьмём, к примеру, то, как даже в мире после Ада борьба за
ресурсы всё ещё актуальна. Тем временем, в Цифровом Мире они
сражаются за Поток."
main_260_080_010,"Ты получил это сообщение нормально? На нашей стороне были
некоторые движения, так что я решил связаться."
main_260_080_011,"В рядах Меркуримона также есть определённое число ""поджигателей
войны"", и эти Дигимоны сейчас готовятся к битве."
main_260_080_012,"Большинство этих воинственных Дигимонов потеряли дорогих друзей
из-за Титанов. Так что... можно с уверенностью сказать, что этот
конфликт не основан на логике."
main_260_080_013,"Меркуримон пока сдерживает их... но я думаю, что вопрос времени,
когда этот котёл закипит."
main_280_005_010,"Что там случилось? Мы на время потеряли с тобой связь. Всё в
порядке?"
main_280_005_011,"Мы можем анализировать любые изменения в ситуации и на нашей
стороне. Но нам нужно, чтобы ты собрал как можно больше
актуальной информации."
main_280_010_010,"Судя по всему... Я бы сказал, что время было отмотано назад."
main_280_010_011,"Мне понадобятся дополнительные данные, чтобы быть уверенным."
main_285_070_010,"О, Инори... Где ты?"
main_285_070_011,"Напиши мне, если видишь это. Пожалуйста! Я больше не могу так
волноваться."
main_285_070_012,"Есть вещи, которые я тебе ещё не рассказал. Например... как сон,
который у меня был с детства, наконец сбылся."
main_285_070_013,"Я хочу, чтобы ты увидел это со мной."
main_290_020_010,"[Первая Поездка Бесплатно!]
Спасибо за ваше покровительство. :D"
main_290_020_011,"Безопасность и душевное спокойствие за 100 иен за поездку!
Спасибо, что пользуетесь компанией Палмон Райд XD"
main_290_020_020,"Безопасность и душевное спокойствие за 100 иен за поездку!
Спасибо, что пользуетесь компанией Палмон Райд XD"
main_290_030_010,"Что-то кажется неправильным. На основе предыдущих данных я решил
установить твоей целью деревню. Тебе следует отправиться туда."
main_290_040_010,"Боюсь, данные, которые нам присылают оттуда, тоже не выглядят
обнадёживающими... Можешь найти какой-нибудь способ
продвинуться?"
main_290_050_010,Просить денег в такое время. Называется - безжалостно.
main_290_060_010,"Согласно данным, которые я получаю, в деревне что-то не так.
Тебе следует действовать с осторожностью."
main_290_070_010,"Я получаю массивные показания в районе святилища. Возможно, это
Бахусмон. Пожалуйста, сходи и посмотри."
main_290_080_010,"На данный момент... ты представитель, работающий над остановкой
войны в другом мире. Агент в самом истинном смысле этого слова."
main_290_080_011,"Твои действия могут даже спасти мир. Прямо как герой Агент
Альфа!"
main_300_000_010,"[Первая Поездка Бесплатно!]
Спасибо за ваше покровительство. :D"
main_300_000_011,"Безопасность и душевное спокойствие за 100 иен за поездку!
Спасибо, что пользуетесь компанией Палмон Райд XD"
main_300_000_020,"Безопасность и душевное спокойствие за 100 иен за поездку!
Спасибо, что пользуетесь компанией Палмон Райд XD"
main_300_070_010,"Я думаю, тебе стоит иметь в виду ту ""обиду"", о которой говорил
Титан."
main_300_070_011,"У обеих сторон есть причины, по которым они не могут отступить,
и именно когда разные представления о справедливости
сталкиваются, конфликт может принять по-настоящему уродливый оборот."
main_300_070_012,"Будет слишком поздно, когда мы окажемся в самой гуще событий.
Тогда уже не будет способа остановить Ад Синдзюку."
main_310_010_010,"Меркуримон, кажется, перенапрягся. Бедняга слёг с тех пор, как ты
ушёл."
main_310_010_020,"Если Меркуримон умрёт... кто будет вести переговоры? Некому будет
сдерживать здесь поджигателей войны."
main_310_015_010,"Поджигатели войны среди Дигимонов... Звучит как нечто, что может
разжечь пламя конфликта."
main_310_015_020,"Похоже, Меркуримон, как лидер, был вынужден прокладывать трудный
курс."
main_310_018_010,"Я приношу печальные новости об отравлении Меркуримона... Без
лечения, боюсь, он недолго продержится в этом мире!"
main_310_018_020,"Нам всё равно понадобится плод Карпос Хюле... хотя я слышал, что
ранее тебе не удалось его получить..."
main_310_018_030,"Я пойду и поищу его сам. С состоянием Меркуримона дорога каждая
минута."
main_310_020_010,"Был такой аниме, которым я был одержим, когда был студентом, под
названием ""Агент Альфа""."
main_310_020_011,Он вдохновил меня на создание собственного аниме.
main_310_020_020,"Я накопил достаточно денег через видеостриминг... и осуществил
эту мечту."
main_310_020_021,"Но цель изменилась. Она заключалась в том, чтобы позвать тебя
после твоего исчезновения восемь лет назад."
main_320_010_010,"Путешествие во времени снова... и, кажется, это происходит
легче, чем раньше."
main_320_010_011,"Повторяй это достаточно часто, и пространство-время начнёт
искривляться—"
main_320_010_012,"Это может привести к серьёзному нарушению пространства-времени.
Мы должны принять решение, пока не стало слишком поздно..."
main_330_000_010,Моя первая работа...
main_330_000_011,"Я планировал её как дань уважения ""Агенту Альфе"" — внешне, во
всяком случае."
main_330_000_012,"Я использовал свои собственные деньги от стриминга и привлёк
некоторых спонсоров."
main_330_000_013,"Он выйдет в любой день, так что жди этого с нетерпением, хорошо,
Инори?"
main_330_010_010,"Я нашёл способ избавить Меркуримона от этого яда! Я приготовлю
ингредиенты и отправлюсь в Деревню Восстания."
main_330_010_020,Я нашёл плод Карпос Хюле. Я уже направляюсь туда.
main_340_000_010,"Как только все увидят, что я создал, они точно будут сидеть на
краешках своих мест."
main_340_000_011,"Я сделал главного героя похожим на тебя, {player}, чтобы
привлечь больше очевидцев."
main_340_000_012,"...Чтобы помочь найти вас всех, после того как вы исчезли."
main_340_000_013,"И это был бонус, что твой облик так близко напоминал одежду
Агента Альфы."
main_340_000_014,"Если пойдёшь в Хигаси-Синдзюку, просто посмотри вверх. Там
сейчас крутят промо-видео."
main_340_010_010,"Не годится. Ты окружён бесчисленными огромными показаниями.
Найди другой маршрут. Откуда вообще эти Дигимоны?"
main_340_010_011,"Мир, в который ты путешествовал во времени, определённо полон
более враждебных Дигимонов, чем мир, который я знаю."
main_340_010_012,"Путешествие во времени - это причина? Может, отклонение от
правил времени и пространства приводит к появлению новых
Дигимонов?"
main_340_010_013,"Если гипотеза исследовательской группы верна и их агрессия
подобна гиперактивной иммунной системе, это имело бы смысл, не
так ли?"
main_340_010_014,"Ведь существо, путешествовавшее во времени, - не более чем
инородное вещество для того мира...!"
main_340_020_010,"Когда враждебные Дигимоны собрались в подземке Синдзюку, я
думал, что это из-за яйца, которое оказалось там..."
main_340_020_011,"Но что, если Дигимоны появились там, чтобы избавиться от яйца...
...как антитела, устраняющие инородное вещество -
путешественника во времени?"
main_340_020_012,"У меня нет никаких доказательств, но если я прав, это имело бы
смысл, что враждебные Дигимоны увеличиваются с каждым
путешествием во времени."
main_340_020_013,"Тебе интересно, почему у меня такая дикая теория?"
main_340_020_014,"Потому что АДАМАС однажды пытался устранить Дигимонов со
способностями к путешествию во времени точно так же - как
инородное вещество."
main_340_020_015,"Впереди многочисленные показания враждебных Дигимонов. Найди
другой маршрут!"
main_350_010_020,"Мы прибыли, и всё готово. Мы ждём, когда ты присоединишься к
нам!"
main_390_010_010,"Похоже, они используют захваченных Дигимонов для своей системы
безопасности. Никакой красоты в этом... Никакой красоты..."
main_390_010_020,"Как им удалось захватить и контролировать всех этих Дигимонов?
Не то чтобы Дигимоны не могут дать отпор..."
main_390_010_030,"Какую уникальную способность получила общественная безопасность?
Кто-то предоставляет им какую-то особую технологию?"
main_390_130_010,"Мне есть что тебе сказать. Приходи повидаться со мной в Деревне
Восстания."
main_400_000_010,"Я услышал об оружии от Куги после того, как мы захватили его.
Похоже, они включили любые части, которые могли, от Дигимонов."
main_400_000_020,"Они утверждают, что оно предназначено для ""контроля"", но на
самом деле это просто машина для убийств. Отключи ограничитель,
и оно, по-видимому, уничтожит каждую биоподпись в окрестностях."
main_400_000_030,"Я знаю, что Куга раньше работал под моим началом, но он
действительно жалок. Его амбиции лишили его всего самоуважения
как учёного..."
main_440_070_010,"...По...жалуй...ста, отве...йте! Связь..."
main_440_070_015,"...Я повтор...ю... Пожа...йста, отве...ьте... Вы в...
нестабиль...ом простра...стве!"
main_440_070_020,"...Время...! Если бы вы могли... отве...ить сра...у, я был бы
приз...ателен..."
main_440_070_025,"Просто дай мне... координ...ты... Я разберусь... с осталь...ым!
...Чёрт возьми, это соедине...ие..."
main_440_070_030,"...надеюсь, эти слова достигнут тебя! Я буду верить, что ты
можешь это видеть."
main_440_070_035,"Ты находишься в крайне нестабильном пространстве. Если ты не
выберешься оттуда быстро, обратного пути не будет!"
main_440_070_040,"Однако я верю, что есть способ спасти тебя! Мне просто нужно
средство для определения твоего местоположения."
main_440_070_045,"Тот мир был насильственно соединён с нашим. Где-то должна быть
""точка искажения""."
main_440_070_050,"Если поблизости есть какой-то крупный источник энергии, я могу
использовать его в качестве ориентира для твоего
местоположения..."
main_440_070_055,"Изменилось ли что-нибудь в той местности, которую ты видел так
много раз раньше?"
main_440_070_060,Слушай! Ищи любые несоответствия!
main_440_070_065,"Места, которые изменились... времена, когда ты... был там...
Должен быть... крупный ...сточник энергии...!"
sub_010_001_1,"Футболки пропадают! Это аномальное явление? Приходи в офис папы
Инори, и я тебе всё расскажу!
Просмотреть детали миссии {decision}"
sub_010_002_1,"Я получил загадочное сообщение и пытаюсь в нём разобраться.
Приходи в офис папы Инори, чтобы помочь мне!
Просмотреть детали миссии {decision}"
sub_010_002_2,"Я слышал, что монстр вернулся к тому ребёнку-клиенту и завёл
настоящего друга!"
sub_010_003_1,"Есть информация о загадочном явлении в Парке Синдзюку! Давай
встретимся на Водной Площади в парке!
Просмотреть детали миссии {decision}"
sub_010_003_2,"Не все кадры, которые я снял в Парке Синдзюку, получились
отлично, но я доволен результатами. Чувствую, что монетизация
уже близко!"
sub_020_011_1,
sub_020_012_1,Неиспользованный
sub_020_013_1,"У меня осталось немного синего хромдигизоидного металла,
и я хочу сделать из него кое-что клевое! Но мне нужно еще
несколько материалов...
Посмотреть детали задания {decision}"
sub_020_014_1,
sub_020_015_1,
sub_020_016_1,
sub_020_018_1,"Теперь я здесь совсем один, и у меня возникли трудности с
кое-чем. Можешь прийти на Пляж Бездны, чтобы помочь?
Просмотреть детали миссии {decision}"
sub_020_019_1,"Помогите! Я в тюрьме Святилища Бездны! Надеюсь, кто-нибудь
получит это!
Просмотреть детали миссии {decision}"
sub_030_024_1,"Ай... Меня атаковали пчёлы... Вот день! Я буду ждать тебя у
Причала Тенистого Дерева. Можешь прийти поговорить?
Просмотреть детали миссии {decision}"
sub_030_026_1,
sub_030_027_1,
sub_030_028_1,
sub_030_029_1,"Наличие группы сделало бы вечеринку более оживлённой. Мне нужна
твоя помощь. Я буду ждать тебя в Деревне Зубчатого Леса.
Просмотреть детали миссии {decision}"
sub_030_030_1,"О, нет! Помнишь ту секретную базу, о которой я тебе рассказывал?
Пожалуйста, просто приди в деревню!
Просмотреть детали миссии {decision}"
sub_030_031_1,"В Деревне Зубчатого Леса в последнее время, кажется, царит много
веселой суеты, но я не могу покинуть святилище... так что я всё
пропускаю... Просмотреть детали миссии {decision}"
sub_040_032_1,"Мы защищаем покой леса! Мы начнём наш патруль с Равнины Парящего
Острова!
Просмотреть детали миссии {decision}"
sub_040_033_1,"Мы, братья, сделаем лес снова мирным! С Парящих Скалистых
Островов от этих оставшихся Титанов не останется и следа!
Просмотреть детали миссии {decision}"
sub_050_038_1,"У меня к тебе большая просьба. Не мог бы ты зайти в магазин,
когда будешь в Центральном городе?
Просмотреть детали миссии {decision}"
sub_050_039_1,"Мой драгоценный молот в беде... Мой молот — это моя жизнь!
Приходи в магазин в Центральном городе. Я умоляю тебя!
Просмотреть детали миссии {decision}"
sub_050_040_1,Неиспользованный
sub_050_041_1,"Мой напарник по безопасности из Центральной Башни ещё не
вернулся с работы. Мы должны были встретиться в центре города.
Он что, бездельничает? Просмотреть детали миссии {decision}"
sub_050_042_1,"Я не могу достать перо Пэрротмона, потому что Титаны мешают!
Может, мне стоит сходить в центр города и переосмыслить план.
Просмотреть детали миссии {decision}"
sub_050_043_1,"В этот раз мы точно добудем драгоценность ПлатинумНумемона!
Кто хочет с нами, встречаемся в центре Центрального города!
Посмотреть детали задания {decision}"
sub_050_044_1,Неиспользованный
sub_050_045_1,
sub_050_046_1,
sub_050_047_1,
sub_050_048_1,
sub_050_049_1,
sub_050_050_1,
sub_060_052_1,
sub_060_053_1,
sub_070_055_1,"Хм... Неужели любовь действительно может изменить человека, интересно...?
Эй, не мог бы ты прийти и немного поговорить? Я буду у себя дома в
центре Центрального города. Просмотреть детали миссии {decision}"
sub_070_056_1,"Хм... Я всё ещё не понимаю... Я хочу поговорить об этом ещё, так
что приходи в Деревню Восстания.
Просмотреть детали миссии {decision}"
sub_070_056_2,"Я... думаю, я, возможно, схожу с ума. Я как-то странно себя
чувствую. Пожалуй, я пойду попробую прочистить голову."
sub_070_057_1,"Это чувство... Я должен что-то с этим сделать. Приходи
встретиться со мной в Деревне Восстания.
Просмотреть детали миссии {decision}"
sub_080_059_1,"Я хочу отправиться в путешествие с Блимпмоном. Я не могу вечно
оставаться в Центральном городе!
Просмотреть детали миссии {decision}"
sub_080_060_1,"Я не могу так продолжать...! Думаю, мне нужен твой совет. Я буду
ждать в Центральном городе.
Просмотреть детали миссии {decision}"
sub_080_061_1,
sub_080_062_1,
sub_080_063_1,
sub_080_063_2,
sub_090_070_1,Неиспользованный
sub_090_071_1,Неиспользованный
sub_090_071_2,"Эй! Ты сейчас свободен? Есть место, которое я хочу проверить, и
мне нужен сопровождающий. Я забронировал время у той гадалки, о
которой все говорят! Встретимся там!"
sub_090_072_1,"Мне удалось записаться к той знаменитой гадалке. Пойдём вместе!
Поспеши в кофейню на Перекрёстке Косю-Кайдо!
Просмотреть детали миссии {decision}"
sub_090_073_1,Неиспользованный
sub_090_074_1,Неиспользованный
sub_095_077_1,"Производственная линия Факториального города не работает...
Нам не хватает материалов и хромдигизоида...
Посмотреть детали задания {decision}"
sub_095_078_1,"БЛИМПМОН РАЗБИЛСЯ В ФАКТОРИАЛЬНОМ ГОРОДЕ И
НУЖДАЕТСЯ В РЕМОНТЕ.
Просмотреть детали миссии {decision}"
sub_095_082_1,"Я получил деталь от отличной фигурки, и у меня есть несколько
вопросов о ней. Приходи повидаться со мной в Ядре Факториала.
Просмотреть детали миссии {decision}"
sub_095_083_1,
sub_095_084_1,
sub_095_084_2,
sub_095_084_3,
sub_095_168_1,Неиспользованный
