family,package,relative_path,row_id,speaker,english_source,current_russian,status
Rhyming shop jingle,patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0202_0780_0020,,"Dungeons got no chill? Feelin' a lack of Skills?
Get these goods and feel the thrill! Ya got victory at your will!","В подземелье нет житья? И навыки подводят?
Бери товары у меня — они к победе приводят!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/arena01.mbe/000_Sheet1.csv,arena01_f001_022_020,char_ETEMON,"Will our champion manage to seize the title of ""the
Twentiest""?!",Сумеет ли чемпион завоевать титул «Двадцатейшего»?!,localized
Twentiest/Dвадцатейшесть,patch_text01,message/arena01.mbe/000_Sheet1.csv,arena01_f001_022_030,char_ETEMON,"Walking the path of twenty, it's the True Twentiest! In
fact, it's the Twentiest of all Twentiests!","Он прошёл путь двадцати — Истинный Двадцатейший!
Двадцатейший из всех двадцатейших!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/arena01.mbe/000_Sheet1.csv,arena01_f001_022_040,char_GRADEMON,"Ah, I see that you, too, wish to walk the path of the
Twentiest!","А, вижу, ты тоже желаешь вступить
на путь Двадцатейшести!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/arena01.mbe/000_Sheet1.csv,arena01_f001_022_041,char_GRADEMON,Very well. I shall respect your wishes.,Хорошо. Уважаю твоё решение.,localized
Twentiest/Dвадцатейшесть,patch_text01,message/arena01.mbe/000_Sheet1.csv,arena01_f001_022_042,char_GRADEMON,"Allow me to show you what I have attained at the very
summit of the Twentiest!","Позволь показать, чего я достиг
на самой вершине Двадцатейшести!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/d05.mbe/000_Sheet1.csv,f_d0506_0240_0010,char_GRADEMON,"Thanks to you, I feel like I am getting closer to the true
Twentiest. Another match is welcome at any time!","Благодаря тебе я всё ближе к истинной Двадцатейшести.
Буду рад сразиться снова в любое время!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_001.mbe/000_Sheet1.csv,s010_001_390,char_ZUBAEAGERMON,"Hehehe... Now, how do I make this just scream ""the
Twentiest""?","Хе-хе-хе... Как сделать эту футболку
по-настоящему двадцатейшей?",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_001.mbe/000_Sheet1.csv,s010_001_410,char_ZUBAEAGERMON,Huh?! Are you two the Twentiest?!,А?! Вы двое тоже двадцатейшие?!,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_001.mbe/000_Sheet1.csv,s010_001_420,char_HIROKO,The Twentiest? What's that supposed to mean?,Двадцатейшие? Это ещё что значит?,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_001.mbe/000_Sheet1.csv,s010_001_430,char_ZUBAEAGERMON,"It's mostly a vibe, so it's hard to explain. How would you
make this shirt the Twentiest?","Это скорее ощущение, так что объяснить трудно.
Как бы ты сделал эту футболку по-двадцатейшему?",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_001.mbe/000_Sheet1.csv,s010_001_442,char_PLAYER_M,{next}Twentiest it.,{next}Одвадцатейшить её.,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_001.mbe/000_Sheet1.csv,s010_001_450,char_ZUBAEAGERMON,"So, that's what the Twentiest is to you? In that case, I'll
tear YOU up!","Вот что для тебя значит Двадцатейшесть? Тогда я
порву ТЕБЯ!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_001.mbe/000_Sheet1.csv,s010_001_460,char_ZUBAEAGERMON,"So, that's what the Twentiest is to you? In that case, I'll
soak YOU in sewage!","Вот что для тебя значит Двадцатейшесть? Тогда я ТЕБЯ
в канализации замочу!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_001.mbe/000_Sheet1.csv,s010_001_470,char_ZUBAEAGERMON,"Why, you...! Think you're funny, huh? Well, the Twentiest is
not to be taken so lightly!","Ах ты... Думаешь, это смешно? К Двадцатейшести
нельзя относиться так легкомысленно!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_001.mbe/000_Sheet1.csv,s010_001_480,char_ZUBAEAGERMON,My Twentiest...,Моя Двадцатейшесть...,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_001.mbe/000_Sheet1.csv,s010_001_490,char_HIROKO,"That solves the case of the stolen T-shirts, but also raises
the mystery of the Twentiest.","С кражами футболок разобрались, но появилась новая загадка:
что такое Двадцатейшесть?",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_001.mbe/000_Sheet1.csv,s010_001_540,char_HIROKO,"That ""Twentiest"" thing is still a mystery to me, but at
least I got to see something cool!","Двадцатейшесть всё ещё загадка для меня,
зато я увидела кое-что крутое!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_010,char_ZUBAEAGERMON,"Hey! Long time no see. I know this is random, but... what's
it mean to be ""the Twentiest""?","Эй! Давно не виделись. Вопрос ни с того ни с сего, но...
что значит быть «двадцатейшим»?",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_020,char_PLAYER_M,{next}That's a tough one.,{next}Вопрос не из лёгких.,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_021,char_PLAYER_M,{next}Nobody knows.,{next}Никто не знает.,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_022,char_PLAYER_M,{next}To be at the end of your twenties.,{next}Дожить до двадцати шести.,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_030,char_ZUBAEAGERMON,"I know, right? And up until just recently, I thought I had
it all figured out...","Вот и я о том! А ведь ещё недавно мне казалось,
что я во всём разобрался...",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_040,char_ZUBAEAGERMON,"True... Maybe everyone's working at being the Twentiest
because it's such a mystery.","Может, все стремятся к Двадцатейшести именно потому,
что никто не знает, что это.",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_050,char_ZUBAEAGERMON,"Haha... Trying to cheer me up with a joke, are you? Well, I
appreciate the thought.","Ха-ха... Пытаешься подбодрить меня шуткой?
Всё равно спасибо.",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_060,char_ZUBAEAGERMON,"I just don't understand what's ""in"" anymore. It's like my
path to the Twentiest is gone.","Я больше не понимаю, что сейчас «в тренде».
Будто сбился с пути к Двадцатейшести.",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_070,char_ZUBAEAGERMON,"There's nothing worse than being normal. I mean, just LOOK
at that outfit of yours!","Нет ничего хуже обыденности. Ты только ПОСМОТРИ
на свой наряд!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_080,char_PLAYER_M,{next}Is it really so bad to be normal?,{next}Разве быть обычным так плохо?,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_081,char_PLAYER_M,{next}What's wrong with my outfit?,{next}Что не так с моим нарядом?,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_082,char_PLAYER_M,{next}Should I jazz it up more?,"{next}Может, добавить яркости?",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_090,char_ZUBAEAGERMON,"It's terrible! When you're normal, you don't stand out. The
Twentiest has to stand out!","Ужасно! Когда ты как все, тебя не замечают.
Двадцатейший обязан выделяться!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_100,char_ZUBAEAGERMON,"If I knew THAT, I wouldn't feel so lost! Your clothes should
be torn, melted... something!","Если бы я знал КАК, не метался бы! Твоя одежда должна
быть рваной, оплавленной... какой угодно необычной!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_110,char_ZUBAEAGERMON,"Jazz it up... Yeah! Creative self-expression through
improvisation is so Twentiest!","Добавить яркости... Точно! Импровизация и творческое
самовыражение — это так по-двадцатейшему!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_120,char_ZUBAEAGERMON,"Oh! I think I just got closer to the essence of the
Twentiest by talking to you. Thanks!","О! Кажется, разговор с тобой приблизил меня к самой сути
Двадцатейшести. Спасибо!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_130,char_ZUBAEAGERMON,"Say... would you mind showing me more of your fashion next
time?","Слушай... В следующий раз покажешь мне
ещё какой-нибудь модный образ?",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_140,char_ZUBAEAGERMON,"A T-shirt with a Digimon on it would be perfect to get me
out of this funk. Thanks!","Футболка с дигимоном — идеальный способ вывести меня
из творческого тупика. Спасибо!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_150,char_ZUBAEAGERMON,"I want to see you in an outfit you've put some effort into.
Nothing normal.","Хочу увидеть образ, над которым ты как следует потрудишься.
Ничего обычного.",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_160,char_ZUBAEAGERMON,Oh! It's you! And that outfit... it's so Twentiest!,О! Это ты! А этот наряд... просто двадцатейший!,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_170,char_PLAYER_M,{next}It is?,{next}Правда?,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_171,char_PLAYER_M,{next}So this outfit helped?,"{next}Значит, наряд помог?",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_172,char_PLAYER_M,"{next}You've finally got it, huh?",{next}Наконец-то понял?,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_180,char_ZUBAEAGERMON,"Yeah! The extra flair that goes beyond normal fashion...
That's it! That's Twentiest!","Да! Изюминка, которая выводит обычную моду за рамки...
Вот она — Двадцатейшесть!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_190,char_ZUBAEAGERMON,"Absolutely! Inspiration's hitting me thirty times a second
now!","Именно! Теперь вдохновение осеняет меня
тридцать раз в секунду!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_200,char_ZUBAEAGERMON,"Haha... Yeah, finally! Just this once, let me call you
""Master Twentiest""!","Ха-ха... Да, наконец-то! Позволь хоть раз назвать тебя
Мастером Двадцатейшести!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_210,char_ZUBAEAGERMON,"Your fashion sense is like regular, spicy curry combined
with a hint of honey!","Твой стиль — как обычное острое карри
с капелькой мёда!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_220,char_ZUBAEAGERMON,"I've been trying too hard. The more one tries to be
Twentiest, the further away one gets.","Я слишком старался. Чем сильнее хочешь стать двадцатейшим,
тем дальше оказываешься от Двадцатейшести.",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_230,char_ZUBAEAGERMON,"You can't overdo the flash in your fashion! You've got to
keep it simple, like an accent.","С яркостью нельзя перебарщивать! Пусть она будет
лишь акцентом в простом образе.",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_240,char_PLAYER_M,{next}You learn fast.,{next}Ты быстро учишься.,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_241,char_PLAYER_M,{next}There's no easy road to the Twentiest.,{next}К Двадцатейшести лёгких путей нет.,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_242,char_PLAYER_M,{next}Like cooking without fancy ingredients?,{next}Как готовить без изысканных ингредиентов?,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_250,char_ZUBAEAGERMON,I see. So I've finally reached the same heights as you...,"Понятно. Значит, я наконец-то поднялся
с тобой на одну высоту...",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_260,char_ZUBAEAGERMON,"It's true. There are many twists and turns. At times you
lose it; at times it branches.","Верно. Путь извилист: порой теряется,
порой расходится на несколько дорог.",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_270,char_ZUBAEAGERMON,"What? Comparing the Twentiest to cooking? Ridiculous! Next,
you'll say it's like curry!","Что? Сравниваешь Двадцатейшесть с кулинарией? Чушь!
Ещё скажи, что это как карри!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_280,char_ZUBAEAGERMON,"Touching the truth of the Twentiest is making me Digivolve!
To greater heights of fashion!","Истина Двадцатейшести заставляет меня эволюционировать!
К новым вершинам моды!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_290,char_ZUBAEAGERMON,Yaaaaah!,А-а-а-а!,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_300,char_DURAMON,"This form is proof of my growth toward the Twentiest! And
it's all because of you!","Эта форма доказывает, что я стал ближе к Двадцатейшести!
И всё благодаря тебе!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_310,char_DURAMON,"The best thing in the world is being normal. I think I
underestimated it before.","Лучше всего быть обычным. Похоже,
раньше я это недооценивал.",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_320,char_DURAMON,"I heard there's an arena in the Factorial Area. I'd like to
test my skills in a fashion showdown!","Слышал, в Промышленной зоне есть арена. Хочу испытать себя
в модном поединке!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_330,char_DURAMON,"Pursuing normalcy, I put in normal work for a normal win...
But it just felt so... normal!","Я выбрал обычный путь, трудился как обычно и победил...
Но всё оказалось таким... обычным!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_340,char_DURAMON,"Is this all normality has to offer? Is this... as far as I
can go?","Неужели это всё, что даёт обыденность? Неужели...
это мой предел?",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_350,char_ZUBAEAGERMON,Perhaps the thing to do now is step off the normal path...,"Возможно, теперь нужно свернуть с обычного пути...",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_355,char_ZUBAEAGERMON,"I can't let it end like this! I'm... going to stand out!
Rise above the ordinary!","Не позволю всему так закончиться! Я... буду выделяться!
Поднимусь над обыденностью!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_360,char_GRADEMON,"This cursed blade has an extraordinary edge. I rediscovered
the path of the Twentiest.","Этот проклятый клинок необычайно остёр. Он вернул меня
на путь Двадцатейшести.",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_370,char_PLAYER_M,{next}You look really strong.,{next}Сразу видно — сил у тебя прибавилось.,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_371,char_PLAYER_M,{next}The Twentiest again?,{next}Опять Двадцатейшесть?,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_372,char_PLAYER_M,"{next}Cursed weapons can be powerful, too.",{next}Проклятое оружие тоже может быть мощным.,localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_380,char_GRADEMON,"Heh... You think so, too? I agree. I cannot wait to put this
newfound power to the test!","Хех... Тоже так думаешь? Согласен. Не терпится
испытать обретённую силу!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_390,char_GRADEMON,"Yes... Digimon all begin and end with the Twentiest. Such is
the nature of things.","Да... Для дигимона всё начинается и заканчивается
Двадцатейшестью. Такова природа вещей.",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_400,char_GRADEMON,"Why must curses always be bad? By my honor as the Twentiest,
I swear to master this weapon!","Почему проклятие обязательно должно быть злом? Клянусь честью
Двадцатейшего: я овладею этим оружием!",localized
Twentiest/Dвадцатейшесть,patch_text01,message/s010_159.mbe/000_Sheet1.csv,s010_159_410,char_GRADEMON,"I would test my new power at the Paradise Colosseum. I will
await your challenge!","Испытаю новую силу в Райском колизее.
Буду ждать твоего вызова!",localized
Twentiest/Dвадцатейшесть,patch_text01,text/char_name.mbe/000_Sheet1.csv,char_ARENA_022,,The True Twentiest,Истинный Двадцатейший,localized
Twentiest/Dвадцатейшесть,patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0697_profile,,"Zubamon is one of the Legend-Arms that can transform
its body into a weapon. The fabled Legend-Arms are
said to be capable of either saving the world in the
hands of an angel, or destroying it in the hands of a
devil. Zubamon possesses the data of the Twentiest,
and often shouts ""I am the Twentiest!"" without knowing
what that means. It dislikes anything warped or twisted,
and is in constant pursuit of its ideal of sharpness.
In battle and in jest, it's always trying to look sharp, and
days when it succeeds put it in a good mood. Though it
has its Twenty Dive attack that involves rushing headlong
at an enemy, Zubamon's true strength lies in its weapon
form.","Зубамон — одно из Легендарных Орудий,
дигимонов, способных превращать свои тела
в оружие. Говорят, в руках ангела они могут
спасти мир, а в руках дьявола — уничтожить.
Зубамон несёт в себе данные Двадцатейшести
и часто кричит: «Я Двадцатейший!», хотя сам
не знает, что это значит. Он терпеть не может
кривизну и стремится к идеальной остроте.
И в бою, и в шутках он старается быть острым;
удачный день сразу поднимает ему настроение.
Его приём «Двадцатейший рывок» — стремительная
атака в лоб, но истинная сила Зубамона
раскрывается в форме оружия.",localized
Twentiest/Dвадцатейшесть,patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0698_profile,,"""I am the Twentiest! I won't stop! I'll keep on
running!"" With those words emblazoned on its soul,
Zubamon Digivolved to ZubaEagermon. Its new form
perfectly embodies that spirit, and ZubaEagermon is
committed to constantly forging ahead, over good
terrain and bad, even if it's reduced to a crawl. Its
special move is Vantheon, with which it curls up into
a ball and spins, slicing through enemies with the
blade on its tail. In its sword form, which it's quite
proud of, it cuts its way through any foe with all of
its strength.","«Я Двадцатейший! Я не остановлюсь! Буду
мчаться вперёд!» С этими словами в душе
Зубамон эволюционировал в ЗубаИгермона.
Новая форма идеально воплощает этот дух:
ЗубаИгермон неустанно движется вперёд
по любой местности, даже если приходится
ползти. Особый приём «Вантеон» сворачивает
его в шар; вращаясь, он рассекает врагов
клинком на хвосте. В форме меча, которой
он очень гордится, ЗубаИгермон вкладывает
всю силу в удар по любому противнику.",localized
Twentiest/Dвадцатейшесть,patch_text01,text/digitter_message.mbe/000_Sheet1.csv,arena_010_220,,"The great Twentiest has agreed to fight you! I just have one
question... Who or what is ""the Twentiest""?","Великий Двадцатейший согласился сразиться с тобой!
Но у меня один вопрос: кто или что такое «Двадцатейший»?",localized
Twentiest/Dвадцатейшесть,patch_text01,text/digitter_message.mbe/000_Sheet1.csv,sub_010_159_1,,"What does ""the Twentiest"" even mean...? I'm so lost right now,
so I'm just standing in a back alley in Shinjuku...

View Mission Details {decision}","Что вообще значит быть «двадцатейшим»?.. Я совсем потерялся
и теперь торчу в тупике одного из переулков Синдзюку...
Просмотреть детали миссии {decision}",localized
Twentiest/Dвадцатейшесть,patch_text01,text/jogress_skill_name.mbe/000_Sheet1.csv,26971,,Twenty Dive,Двадцатейший рывок,localized
Twentiest/Dвадцатейшесть,patch_text01,text/quest_outline.mbe/000_Sheet1.csv,159,,"What does ""the Twentiest"" even mean...? I don't know
what to do. Here I am, stuck in a back alley in Shinjuku...","Что вообще значит быть «двадцатейшим»?.. Я совсем потерялся
и теперь торчу в тупике одного из переулков Синдзюку...",localized
Twentiest/Dвадцатейшесть,patch_text01,text/skill_name.mbe/000_Sheet1.csv,26971,,Twenty Dive,Двадцатейший рывок,localized
Whamon: whale/well,patch_text01,message/arena01.mbe/000_Sheet1.csv,arena01_f001_005_040,char_WHAMON,"Whale, I know Puppetmon is telling the truth!",Вот так кит! Я точно знаю: Пиноккимон говорит правду!,localized
Whamon: whale/well,patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0301_0080_0030,char_WHAMON,"Whale, hop in!",Китово! Запрыгивай!,localized
Whamon: whale/well,patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0301_0080_0040,char_WHAMON,"Whale, are we going or what?","Ну что, китуем или как?",localized
Whamon: whale/well,patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0301_0080_0060,char_WHAMON,"Whale, let's get going!","Китово, отправляемся!",localized
Whamon: whale/well,patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0301_0160_0010,char_WHAMON,"Whale, whale. Who are you folks again?
I feel like we've met before...","Вот так кит... А вы кто? Кажется,
мы уже встречались...",localized
Whamon: whale/well,patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0301_0160_0030,char_WHAMON,"Any-whale, what can I do you for?",Кит с ним! Чем могу помочь?,localized
Whamon: whale/well,patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0301_0160_0040,char_WHAMON,Whale! You want to go there? Fine by me.,Китово! Хочешь туда? Я не против.,localized
Whamon: whale/well,patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0302_0350_0010,char_WHAMON,"Whale, what do we have here? Didn't I just give you a ride?",Вот так кит! Я же только что тебя подвозил!,localized
Whamon: whale/well,patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0302_0350_0020,char_WHAMON,"Hm... My memory's a little fuzzy. Oh, whale. I'll just give
you another ride!","Хм... Память что-то подводит. Ну и кит с ним —
подвезу тебя ещё раз!",localized
Whamon: whale/well,patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0302_0350_0030,char_WHAMON,Whale to?,Куда китуем?,localized
Whamon: whale/well,patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0302_0350_0045,char_WHAMON,"Whale, whale... So Lady Venusmon has a plan, then!","Вот так кит... Значит, у леди Венусмон есть план!",localized
Whamon: whale/well,patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0302_0350_0050,char_WHAMON,"Whale, are you getting in?","Ну что, китуем? Запрыгиваешь?",localized
Whamon: whale/well,patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0302_0360_0010,char_WHAMON,"Got something urgent to do? Whale, in that case,
don't worry about me. Get going, already!","Срочные дела? Ну и кит с ним — обо мне не волнуйся.
Иди уже!",localized
