type,risk,occurrences,source_variants,files,template,example_keys,source_examples,note
same_ru_different_en,medium,2,2,2,{d0} потрясён и не может действовать!,patch_text01:12106 | patch_text01:12106,{d0} is downed from the impact! | {d0} is incapacitated due to shock!,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,1,"{d0}: все характеристики повышены, входящий физический/магический урон снижен!",patch_text01:200009 | patch_text01:300009,"{d0}'s stats have all been boosted, and incoming physical/magic damage will be reduced! | {d0}' stats have all been boosted, and incoming physical/magic damage will be reduced!",Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,1,{end}Мне нужно еще немного времени.,addcont_01_text01:dlcep001_0030_0021 | addcont_01_text01:dlcep001_0120_0021,{end}I need a little more time. | {end}I need some more time.,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,"А пока тебе лучше отдохнуть.
На этом этапе твою работу наверняка снова прервут.",addcont_02_text01:d250_060_050 | addcont_03_text01:d350_030_050,"Until then, you'd better rest up. You are sure to
have your work cut out for you again at that point. | Until then, you'd better rest up, because you're sure to
have your work cut out for you again at that point.",Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,"А, вот и ты! Я так долго тебя ждал.",patch_text01:s050_041_0210 | patch_text01:s110_101_620,"Ah, there you are! I've been waiting for you. | Ah, there you are! I have been waiting for
you.",Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,Героическая статуя (Кокувамон А и Б),patch_text01:20613 | patch_text01:20613,Heroic Statue (Kokuwamon A & B) | Heroic Statue (Kokuwamon AB),Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,Героическая статуя (братья из Центрального города 1),patch_text01:20619 | patch_text01:20619,Heroic Statue (Central Town Siblings 1) | Heroic Statue (Central Town Bros 1),Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,Героическая статуя (братья из Центрального города 2),patch_text01:20620 | patch_text01:20620,Heroic Statue (Central Town Siblings 2) | Heroic Statue (Central Town Bros 2),Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,Защита от земли и стали,patch_text01:1073 | patch_text01:1073,Union Guard G&S | Union Guard S&G,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,1,"Извините за беспокойство. Это ""никаких сверхурочных"" - своего
рода палка о двух концах.",patch_text01:s050_041_0100 | patch_text01:s050_041_0240,"Sorry to trouble you. This ""no overtime"" thing is
kind of a double-edged sword. | Sorry for the hassle. This ""no overtime"" thing is
kind of a double-edged sword.",Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,"Как хорошо, что с тобой всё в порядке.",patch_text01:f_d0203_0010_0174 | patch_text01:m040_110_061,I'm so glad you're okay. | I'm glad you're okay!{next},Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,1,"Клянусь тебе в верности, мой сеньор.",patch_text01:knight_001_0_char_KNIGHTMON | patch_text01:garumu_001_0_char_GARUMMON,"I pledge my fealty to you, my liege. | I pledge fealty to you, my liege.",Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,1,"Мне неприятно даже думать об этом, но...",patch_text01:m280_030_070 | patch_text01:m280_040_040,"I am loath to even conceive of it, but... | I am loath to even think of it, but...",Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,Могу я вам чем-нибудь помочь?,patch_text01:s110_211_220 | patch_text01:s910_171_590,Can I help you? | ...Can I help you with something?,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,Они готовы пустить в ход мощный навык!,patch_text01:70005 | patch_text01:70005,It's ready to unleash a powerful skill! | They're ready to unleash a powerful skill!,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,1,"По пути к месту встречи мне пришлось
вступить в бой с врагом.",patch_text01:s110_092_030 | patch_text01:s110_092_050,"You see, on my way to the rendezvous point, I was forced
to engage the enemy in battle. | ...on my way to the rendezvous point, I was forced to engage
the enemy in battle.",Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,1,"Позволь рассказать тебе о {fc9эволюции}.
Основы этой теории заложил твой приёмный отец...",patch_text01:f_d1405_0040_0010 | patch_text01:f_d1406_0010_0010,"Let me tell you about {fc9Digivolution}. The person who
came up with the basic theories was your adoptive father... | Let me tell you about Digimon {fc9Digivolution}. The person who
came up with the basic theories was your adoptive father...",Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,"Практически каждый отец в мире скажет, что его дети важнее для
него, чем его собственная жизнь.",patch_text01:m210_020_140 | patch_text01:f_t0109_0210_0200,"Pretty much every father in the world would say that their
children matter more to them than their own life. | Pretty much every father in the world would say their
children matter more to them than their own life.",Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,"Пространственно-временные искажения будут множиться,
пока мир окончательно не утратит свою форму.",addcont_01_text01:d110_050_180 | addcont_02_text01:d210_040_140,"The distortions in space-time will continue to grow until
the world is no longer able to maintain its proper form. | Space-time distortions continue to multiply until
the world is no longer able to maintain its proper form.",Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,1,Такого мне ещё не доводилось видеть.,patch_text01:pyoko_001_1_replay | patch_text01:omsha_001_2_replay,I've never seen anything like it. | I've never seen one.,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,1,"Там, внизу, происходит что-то странное...",patch_text01:r_d0407_0060_0060 | patch_text01:r_d0407_0070_0060,"There's something weird down
there... | There's something strange
down there...",Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,1,Тебе не о чем беспокоиться.,patch_text01:ldevi_001_3_replay | patch_text01:common029_2_replay,You don't have to worry. | Nothing you need to worry about.,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,Титамон накапливает силу в своем массивном клинке...,patch_text01:44401 | patch_text01:44401,Titamon is smiling fearlessly... | Titamon is amassing power in his massive blade...,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,Трофей: Мираж Гаогамон: Взрывной режим,patch_text01:22101 | patch_text01:22101,MirageGaogamon BM Trophy | MirageGaogamon: Burst Mode Trophy,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,1,Ты... и меня тоже обманула?,patch_text01:m280_030_150 | patch_text01:m280_040_120,You... duped me as well? | You... lied to me as well?,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,Футболка с принтом артхаусного фильма,patch_text01:818 | patch_text01:818,Arthouse Film T-Shirt | Movie Cinema T-shirt,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,1,"Ха-ха. Видеть тебя такой никогда не надоедает! Знаешь, в
каком-то смысле ты, возможно, права.",patch_text01:s200_148_480 | patch_text01:s200_148_490,"Haha. Seeing you like that never gets old!
Y'know, in a way, you might be right. | Haha. Seeing you like that never gets old!
You know, in a way, you might be right.",Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,"Это ещё один Акашический бэкдор. Похоже, тот же Дигимон
снова исказил естественные законы мира.",addcont_02_text01:d210_010_060 | addcont_03_text01:d310_010_050,"This is another Akashic Backdoor. Basically, that same Digimon
has once again warped the natural laws of the world. | A new Akashic Backdoor...! It seems that same Digimon
has once again warped the natural laws of the world.",Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,Я всегда буду рядом с тобой.,patch_text01:impe_001_4_replay | patch_text01:m440_120_340,I'll always be by your side. | ...I will always be by your side.,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,Я не могу этого сделать.,patch_text01:glade_001_1_replay | patch_text01:m340_020_151,I can't do that. | There's no way I could do that!{next},Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,Я так и знал! Меня не проведешь!,patch_text01:s095_077_350 | patch_text01:s200_150_080,I knew it! There's no fooling me! | I knew it! You can't fool me!,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
source_aligned_pattern,low,63,62,35,really → действительно,addcont_01_text01:d120_110_010 | addcont_02_text01:d240_051_040 | addcont_03_text01:d330_030_050 | patch_text01:f_d0201_0680_0040 | patch_text01:f_d0202_0040_0010 | patch_text01:f_d0204_0120_0010,"""So... you're really going?"" | ""Is that... really possible?"" | ""Wait...! A-Are you really going to let me off so easily?!"" | ...we really need to come up with a more effective solution. | You really helped us out! I don't know what we would've done
without you! | Wow, that Lillymon over there is really cute...
Aren't you gonna go say hi?","Системный буквальный шаблон; оценить выборку в разных сценах, не заменять автоматически."
source_aligned_pattern,medium,48,48,32,actually → действительно/на самом деле,addcont_02_text01:d240_062_020 | addcont_03_text01:d310_040_090 | patch_text01:1120001024 | patch_text01:f_d0202_0020_0020 | patch_text01:f_d0401_0100_0030 | patch_text01:f_d0502_0350_0020,"You make it sound a lot more complicated than it actually is... | Never mind. I realize that was confusing.
I'm rather confused myself, actually. | Glurp?! Whoa, seriously?! It's working?!
It's actually glurpin' working! Not bad, glurp! | One of my pals is always there by himself, but who knows,
Minervamon might actually be home. Go have a look.
 | But it seems the village is actually trying to improve.
That's good to know. | It was actually a hero from somewhere else that saved the
day! Get real...!","Системный буквальный шаблон; оценить выборку в разных сценах, не заменять автоматически."
source_aligned_pattern,medium,48,48,32,right now → прямо сейчас,addcont_02_text01:d210_030_140 | addcont_02_text01:d220_030_120 | addcont_02_text01:banma_001_1_replay | patch_text01:arena01_f001_005_030 | patch_text01:1081020022 | patch_text01:2030183002,"""Hello, folks. This is OcculTokyo TV.
Am I... dreaming right now?"" | Bring us back to our own world, right now!
Prepare yourself! | I need your help right now. | There are no lies to be told here... Okay, that was a lie!
Yep, somebody's definitely lying right now! | The battery can only be used once. I should focus on the
battle right now. | Hey! That hurts! I cannot clear the fog right now!","Системный буквальный шаблон; оценить выборку в разных сценах, не заменять автоматически."
source_aligned_pattern,low,33,33,17,quite → довольно,patch_text01:f_d0204_0280_0060 | patch_text01:f_d0305_0060_0010 | patch_text01:f_d0401_0080_0030 | patch_text01:f_d0604_0400_0010 | patch_text01:f_h0601_0030_0050 | patch_text01:m060_160_110,"Allow me to thank you for your help with Central Tower.
I received word that the Digimon there are quite formidable. | It would seem you are awake. You were in quite a
precarious state for a while. | I do not mind you joining us. But let me warn you. We are
quite tough. I wonder if you can keep up... | I see... So it is quite a difficult procedure to open this
cell, is it...? | The one who created this space is quite tricky...
I have a feeling we share a similar mindset. | You should go take a break. I mean... you've had
quite the day, right?","Системный буквальный шаблон; оценить выборку в разных сценах, не заменять автоматически."
source_aligned_pattern,low,22,22,8,various → различные,patch_text01:m070_040_110 | patch_text01:m180_050_110 | patch_text01:m420_010_170 | patch_text01:s095_077_490 | patch_text01:digimon_0130_profile | patch_text01:digimon_0184_profile,"I want to learn everything I can about their capabilities as living organisms.
Toward that end, I have various hypotheses I wish to test. | It wouldn't be a stretch to call our various mythologies the
greatest anomalies in human history. | While bound by Chronomon's rage... I provided various things to
the humans. | LoaderLeomon's back, and we can produce various
metals now. Stop by if you need any. | An Ancient Fish Digimon with tough skin and
enormous claws. This Digimon is discovered in
the Net Ocean whenever computer networks
destroyed by malicious hackers are repaired.
Coelamon's body composition is very primitive,
with fins developed into limbs. Based on these
facts, it's thought that primordial Digimon born
in the Net Ocean underwent various evolutions in
order to come onto land, growing more numerous
and differentiating into various types in the
process. Coelamon's special move is Fossil Bite,
which attacks enemies with its massive claws. | A Deity Digimon that synthesizes the abilities of
various species, using a human body as its base.
This synthesis is said to have resulted from the
pursuit of the ultimate goal of omnipotence,
dramatically changing this Digimon's form to match
its environment. This form is based on
Dragon-species data, which would ordinarily lie
dormant within its body, centered around the crystal
in its chest, but Aegiochusmon manifested this
data onto the surface of its body, establishing it as
armor. This armor is a power suit that's not only for
defense, but which also acts as muscle, dramatically
increasing attack power. Aegiochusmon uses its
special move Bolt Break Knockdown to perform a
punch rush with fists coiled in lightning produced
from its horn, or Lightning Pile to drive a pile-shaped
bolt down on the enemy from above, driving them
into the ground. If this move pierces the enemy once,
subsequently released piles then connect without
fail, no matter where they're thrown.","Системный буквальный шаблон; оценить выборку в разных сценах, не заменять автоматически."
source_aligned_pattern,low,19,19,16,some kind of → какой-то,addcont_02_text01:d220_090_080 | addcont_02_text01:d220_130_040 | patch_text01:f_d0201_0020_0070 | patch_text01:f_d0202_0420_0040 | patch_text01:f_d0404_0150_0030 | patch_text01:f_d0604_0270_0060,"A ""col""-what? What's that?
Some kind of super powerful move? | Some kind of rift opened up in the sky above the Tokyo
Metropolitan Government Building, and there was a flash. | Lord Merukimon must have some kind of plan to stop them, right?
I sure hope he does something soon... | But yes, things have been a bit tumultuous. I hope the
powers that be have some kind of plan... | I heard the sanctuary was in some kind of trouble... I hope
it's okay. | There was some kind of commotion, so I figured I'd use the
opportunity to escape.","Системный буквальный шаблон; оценить выборку в разных сценах, не заменять автоматически."
source_aligned_pattern,medium,12,12,9,presence → наличие/присутствие,addcont_01_text01:dlcep001_0030_0010 | addcont_02_text01:d230_020_140 | addcont_03_text01:d320_040_200 | patch_text01:f_d0907_0010_0040 | patch_text01:ofa_001_4_reaction_char_OPHANIMON | patch_text01:pega_001_4_reaction_char_PEGASMON,"I sense a presence from beyond the door.
I believe it to be our ally Omnimon Zwart. | Suddenly, it felt like someone else was being drained, just like me.
I felt their presence in the crystals as well. | Hm... I am sensing the presence of others. Most likely, there are
more Digimon who are after the X Antibody lurking nearby. | Even in my slumber, I felt your presence ever near. Mere words cannot
express my gratitude... but I am afraid now is not the time. | My presence here means there is something for me to observe,
and to accomplish. | It's a reflex, I assure you. Though perhaps your special presence
would negate it?","Системный буквальный шаблон; оценить выборку в разных сценах, не заменять автоматически."
source_aligned_pattern,medium,11,10,9,as for → что касается,patch_text01:f_d0505_0080_0030 | patch_text01:f_d1204_0180_0040 | patch_text01:f_d1204_0190_0020 | patch_text01:m050_055_030 | patch_text01:m150_010_158 | patch_text01:m150_150_340,"As for the rest, we'll handle things here. You folks have
your own road to travel. | As for the two of us, we'll probably never go back. | I am sure things have been rough for you, too.
As for us, well... the Titans have taken Central Town! | As for why this place exists... that will be
clear enough when the time comes. | As for all of you... Perhaps you are the best candidates
to go to the Factorial Area for me? | As for the rest, we'll handle things here.
You folks have your own road to travel.","Системный буквальный шаблон; оценить выборку в разных сценах, не заменять автоматически."
source_aligned_pattern,low,7,7,7,"seems → кажется, что",patch_text01:f_d0207_0010_0030 | patch_text01:f_d0302_0230_0010 | patch_text01:f_d1204_0500_0030 | patch_text01:r_d0206_0010_0060 | patch_text01:s010_156_250 | patch_text01:digimon_0771_profile,"Wait... Some parts seem to be moving a little slow... Some
other spots must be busted, too... | From the look of things... It seems that time has been rewound. | Fundamentally, it seems like it would best be left closed.
That's how the worlds have stayed in balance all this time. | Seems like only the top is
cloudy... | Maybe. It seems like it's made of metal, but some Digimon do
have metal parts. | Darkdramon is an Android Digimon believed to be
the D-Brigade's ultimate weapon. Rumor has it that
D-Brigade researchers created Darkdramon by
Digivolving a Tankdramon they recovered. Supposedly,
this Tankdramon was defeated in an operation
designed to eliminate a target codenamed BAN-TYO.
However, none of this information is particularly
reliable. A vast amount of dark matter seems to have
been used in this Digivolution process. Possibly as a
result, Darkdramon immediately went berserk and fled.
Its current whereabouts are unknown, even to the
D-Brigade, though rumor has it that it's still searching
for Codename BAN-TYO. Its special move Dark Roar
is a forbidden technique that involves firing an energy
bomb composed of dark matter. Nothing can survive
a hit from this attack, rumor has it. Darkdramon also
has a weapon called the Gigastick Lance built into
its right arm, said to be equal in power to Gallantmon's
holy lance Gram.","Системный буквальный шаблон; оценить выборку в разных сценах, не заменять автоматически."
source_aligned_pattern,low,4,4,1,process → в процессе,patch_text01:digimon_0060_profile | patch_text01:digimon_0069_profile | patch_text01:digimon_0130_profile | patch_text01:digimon_0400_profile,"One of the rumored seven Digivolutions from
Volcanomon. Possessing immense strength and
destructive power, PileVolcanomon is well-versed in
all manner of hand-to-hand fighting techniques,
including pro wrestling moves. During the process of
Digivolution, it sculpted its once-massive physique
into a leaner form more suitable for melee fighting.
Its special moves are Volcanic Driver, which
leverages the power generated by the erupting
volcanoes on its shoulders to smash opponents
head-first into the ground, and Diamond Fist, an
ultimate punch capable of rending even Chrondigizoid. | An extremely rare Numemon that first discovered
the Platina Mine in the Digital World, taking in those
components to Digivolve. From that point on,
PlatinumNumemon's personality did a complete
about-face as it scraped together any jewelry data
it could find, decorating itself like a nouveau riche.
It's quite the ""gorgeous"" Digimon, despite its nature.
Outfitting itself with golden wings and jewelry grants
it considerable defense, but its attack power is
middling at best. PlatinumNumemon uses its special
move Platinum Excrement to hurl the dregs
(excrement) produced during the platina refinement
process in rapid succession. It also uses Platinum
Burp to release a putrid belch that saps the enemy's
fighting spirit. | An Ancient Fish Digimon with tough skin and
enormous claws. This Digimon is discovered in
the Net Ocean whenever computer networks
destroyed by malicious hackers are repaired.
Coelamon's body composition is very primitive,
with fins developed into limbs. Based on these
facts, it's thought that primordial Digimon born
in the Net Ocean underwent various evolutions in
order to come onto land, growing more numerous
and differentiating into various types in the
process. Coelamon's special move is Fossil Bite,
which attacks enemies with its massive claws. | AeroVeedramon is a further-Digivolved form of
Veedramon that's become capable of flight. Only
the strongest of the Veedramon line can Digivolve
into AeroVeedramon by making it through countless
battles, and since Veedramon is a rare species to
begin with, AeroVeedramon is practically a legend. It
also gained more than wings in the process of
Digivolving, and now boasts increased offensive and
defensive capabilities. Its special move Dragon
Impulse unleashes a shockwave in the shape of a
dragon.","Системный буквальный шаблон; оценить выборку в разных сценах, не заменять автоматически."
source_aligned_pattern,medium,1,1,1,regarding → относительно/касательно,patch_text01:tutorial_exp_FieldAnalysis_01_001,"This mode lets your Digivice display various kinds of information
that cannot be seen with the naked eye alone.

{fc9- See which objects can be targeted with a DigiAttack.
- View details regarding a hostile Digimon (use {sub2}).
- Search for treasure chests and materials.}

While in Analyze Mode, you can perform
DigiAttacks on hostile Digimon and objects.","Системный буквальный шаблон; оценить выборку в разных сценах, не заменять автоматически."
repeated_ngram,low,56,56,1,доказательство победы над участником ультимативной,patch_text01:22101 | patch_text01:22102 | patch_text01:22103 | patch_text01:22104 | patch_text01:22105,"Proof you defeated Ultimate Collection Member Number 1,
MirageGaogamon BM, in the Outer Dungeons. | Proof you defeated Ultimate Collection Member Number 2,
Susanomon, in the Outer Dungeons. | Proof you defeated Ultimate Collection Member Number 3,
Armageddemon, in the Outer Dungeons. | Proof you defeated Ultimate Collection Member Number 4,
Slayerdramon, in the Outer Dungeons. | Proof you defeated Ultimate Collection Member Number 5,
Beelzemon, in the Outer Dungeons.","Повторяемый шаблон; проверять выборочно, массовая замена запрещена."
repeated_ngram,low,56,56,1,доказательство победы над участником ультимативной коллекции,patch_text01:22101 | patch_text01:22102 | patch_text01:22103 | patch_text01:22104 | patch_text01:22105,"Proof you defeated Ultimate Collection Member Number 1,
MirageGaogamon BM, in the Outer Dungeons. | Proof you defeated Ultimate Collection Member Number 2,
Susanomon, in the Outer Dungeons. | Proof you defeated Ultimate Collection Member Number 3,
Armageddemon, in the Outer Dungeons. | Proof you defeated Ultimate Collection Member Number 4,
Slayerdramon, in the Outer Dungeons. | Proof you defeated Ultimate Collection Member Number 5,
Beelzemon, in the Outer Dungeons.","Повторяемый шаблон; проверять выборочно, массовая замена запрещена."
repeated_ngram,low,56,56,1,победы над участником ультимативной коллекции,patch_text01:22101 | patch_text01:22102 | patch_text01:22103 | patch_text01:22104 | patch_text01:22105,"Proof you defeated Ultimate Collection Member Number 1,
MirageGaogamon BM, in the Outer Dungeons. | Proof you defeated Ultimate Collection Member Number 2,
Susanomon, in the Outer Dungeons. | Proof you defeated Ultimate Collection Member Number 3,
Armageddemon, in the Outer Dungeons. | Proof you defeated Ultimate Collection Member Number 4,
Slayerdramon, in the Outer Dungeons. | Proof you defeated Ultimate Collection Member Number 5,
Beelzemon, in the Outer Dungeons.","Повторяемый шаблон; проверять выборочно, массовая замена запрещена."
repeated_ngram,low,48,46,1,повышенный урон по целям с,patch_text01:20391 | patch_text01:21782 | patch_text01:27493 | patch_text01:27496 | patch_text01:27383,"[Target: 1 enemy]
Performs {is28}{image(ui_icon_skill_010)} Dark magic attack at power 30 or 120.
Increased damage to targets with Holy Trait. | [Target: 1 enemy] Performs {is28}{image(ui_icon_skill_000)} Null physical attack at
power 80. If target's Attribute is anything other than
No Data: Increased damage. Increased damage to
targets with Mineral Trait. | Activates {is28}{image(ui_icon_btlStatus_036)} Counter Physical.
Upon receiving a physical attack, counters with a
{is28}{image(ui_icon_skill_001)} Fire physical attack at power 105.
Increased damage to targets with Humanoid Trait. | Activates {is28}{image(ui_icon_btlStatus_036)} Counter Physical. Upon receiving a physical attack,
counters with a {is28}{image(ui_icon_skill_001)} Fire physical attack at power 250. Nullifies
unfavorable compatibility. 20% reduction to DEF for 3 turns.
Increased damage to targets with Humanoid Trait. | Activates {is28}{image(ui_icon_btlStatus_036)} Counter Physical. Upon receiving a
physical attack, counters with a {is28}{image(ui_icon_skill_000)} Null magic attack
at power 115. Negates unfavorable compatibility.
Increased damage to targets with Mythical Trait.","Повторяемый шаблон; проверять выборочно, массовая замена запрещена."
repeated_ngram,low,48,46,1,повышенный урон по целям с особенностью,patch_text01:20391 | patch_text01:21782 | patch_text01:27493 | patch_text01:27496 | patch_text01:27383,"[Target: 1 enemy]
Performs {is28}{image(ui_icon_skill_010)} Dark magic attack at power 30 or 120.
Increased damage to targets with Holy Trait. | [Target: 1 enemy] Performs {is28}{image(ui_icon_skill_000)} Null physical attack at
power 80. If target's Attribute is anything other than
No Data: Increased damage. Increased damage to
targets with Mineral Trait. | Activates {is28}{image(ui_icon_btlStatus_036)} Counter Physical.
Upon receiving a physical attack, counters with a
{is28}{image(ui_icon_skill_001)} Fire physical attack at power 105.
Increased damage to targets with Humanoid Trait. | Activates {is28}{image(ui_icon_btlStatus_036)} Counter Physical. Upon receiving a physical attack,
counters with a {is28}{image(ui_icon_skill_001)} Fire physical attack at power 250. Nullifies
unfavorable compatibility. 20% reduction to DEF for 3 turns.
Increased damage to targets with Humanoid Trait. | Activates {is28}{image(ui_icon_btlStatus_036)} Counter Physical. Upon receiving a
physical attack, counters with a {is28}{image(ui_icon_skill_000)} Null magic attack
at power 115. Negates unfavorable compatibility.
Increased damage to targets with Mythical Trait.","Повторяемый шаблон; проверять выборочно, массовая замена запрещена."
repeated_ngram,low,48,46,1,урон по целям с особенностью,patch_text01:20391 | patch_text01:21782 | patch_text01:27493 | patch_text01:27496 | patch_text01:27383,"[Target: 1 enemy]
Performs {is28}{image(ui_icon_skill_010)} Dark magic attack at power 30 or 120.
Increased damage to targets with Holy Trait. | [Target: 1 enemy] Performs {is28}{image(ui_icon_skill_000)} Null physical attack at
power 80. If target's Attribute is anything other than
No Data: Increased damage. Increased damage to
targets with Mineral Trait. | Activates {is28}{image(ui_icon_btlStatus_036)} Counter Physical.
Upon receiving a physical attack, counters with a
{is28}{image(ui_icon_skill_001)} Fire physical attack at power 105.
Increased damage to targets with Humanoid Trait. | Activates {is28}{image(ui_icon_btlStatus_036)} Counter Physical. Upon receiving a physical attack,
counters with a {is28}{image(ui_icon_skill_001)} Fire physical attack at power 250. Nullifies
unfavorable compatibility. 20% reduction to DEF for 3 turns.
Increased damage to targets with Humanoid Trait. | Activates {is28}{image(ui_icon_btlStatus_036)} Counter Physical. Upon receiving a
physical attack, counters with a {is28}{image(ui_icon_skill_000)} Null magic attack
at power 115. Negates unfavorable compatibility.
Increased damage to targets with Mythical Trait.","Повторяемый шаблон; проверять выборочно, массовая замена запрещена."
