"priority","category","reason","match","scope","package","file","line","key","speaker","source_en","current_ru"
"3","machine_phrase","довольно/действительно/различные перегруз","довольно","dialogue","addcont_02_text01","message/d220.mbe/000_Sheet1.csv","126","d220_110_080","char_BANCHOMAMEMON","...a pretty impressive fake.","...довольно впечатляющая подделка."
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","addcont_02_text01","message/d220.mbe/000_Sheet1.csv","135","d220_120_020","char_BANCHOLEOMON","I've come to a conclusion after our fight.
You are indeed a Bancho worthy of my respect.","Я пришел к такому выводу после нашей ссоры.
Ты действительно Банчо, достойный моего уважения."
"3","machine_phrase","присутствие/наличие","присутствие","dialogue","addcont_02_text01","message/d230.mbe/000_Sheet1.csv","15","d230_020_140","char_OMEGAMON","Suddenly, it felt like someone else was being drained, just like me.
I felt their presence in the crystals as well.","Внезапно я почувствовал, что кто-то ещё истощается так же, как я.
Его присутствие тоже ощущалось в кристаллах."
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","addcont_02_text01","message/d240.mbe/000_Sheet1.csv","44","d240_041_030","char_TOUDO","""I'll admit, with all that's going on right now, we do need help.
But I'm not about to put a civilian's life at risk.""","«Признаю, сейчас нам действительно нужна помощь.
Но я не собираюсь рисковать жизнью гражданского»."
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","addcont_02_text01","message/d240.mbe/000_Sheet1.csv","60","d240_051_040","char_HIROKO","""Is that... really possible?""","«Это... действительно возможно?»"
"3","machine_phrase","данный/данные","данные","dialogue","addcont_02_text01","message/d240.mbe/000_Sheet1.csv","75","d240_061_050","char_HIROKO","""If you could analyze its data for me, then maybe...""","«Если бы вы могли проанализировать для меня его данные, то, возможно…»"
"3","machine_phrase","данный/данные","данными","dialogue","addcont_02_text01","message/d240.mbe/000_Sheet1.csv","86","d240_071_020","char_HIROKO","If I can bring back info on Parallelmon,
my dream just might come true.","Если я смогу вернуться с данными о Параллельмоне,
моя мечта может сбыться."
"3","machine_phrase","довольно/действительно/различные перегруз","довольно","dialogue","addcont_02_text01","message/digimon_chat_dlc02.mbe/000_Sheet1.csv","7","bango_001_3_replay","char_PLAYER_M","I think my will's kinda weak.","Я думаю, что моя воля довольно слаба."
"3","machine_phrase","довольно/действительно/различные перегруз","Довольно","dialogue","addcont_02_text01","message/digimon_chat_dlc02.mbe/000_Sheet1.csv","32","omem_001_2_replay","char_PLAYER_M","Pretty ruthless, don't you think?","Довольно безжалостно, вам не кажется?"
"3","machine_phrase","данный/данные","Данные","dialogue","addcont_02_text01","message/dlcep002_field.mbe/000_Sheet1.csv","25","dlcep002_0130_0020","char_NONAME","{next}[Make BanchoLillymon (Data) your ally.]","{next}[Сделать БанчоЛилимона (Данные) союзником.]"
"3","machine_phrase","данный/данные","Данные","dialogue","addcont_02_text01","message/dlcep002_field.mbe/000_Sheet1.csv","40","dlcep002_0160_0020","char_NONAME","{next}[Make BanchoMamemon (Data) your ally.]","{next}[Сделать БанчоМамемона (Данные) союзником.]"
"3","machine_phrase","данный/данные","данные","dialogue","addcont_02_text01","message/dlcep002_field.mbe/000_Sheet1.csv","47","dlcep002_0165_0024","char_HIROKO","So I'm trusting you with this data. Who knows?
Something in them might prove useful.","Поэтому я доверяю эти данные вам. Кто знает?
Вдруг что-то в них окажется полезным."
"3","machine_phrase","данный/данные","данные","profile","addcont_02_text01","text/digimon_profile_dlc02.mbe/000_Sheet1.csv","3","digimon_0449_profile","","A Mutant Digimon that can travel freely between
Digital Worlds in different dimensions. This baleful
existence devours the data of Digimon in the worlds
it crosses over to, and its purpose is a mystery.
Parallelmon appears in unexpected places at
unexpected times, and its coming heralds
pandemonium for the world. As such, research teams
consider its very appearance to be a calamity. One of
Parallelmon's special moves is Absorbent Bang, which
fires a beam from its eyes that absorbs Digimon.
Anything besides Digimon hit by this beam is flung to
some other dimension. It also has Endless Trance,
which attacks unilaterally from the countless gates it
opens around the enemy.","Дигимон-мутант, свободно перемещающийся между
Цифровыми мирами разных измерений. Это зловещее
существо пожирает данные дигимонов в мирах,
куда проникает, а его истинная цель остаётся тайной.
Параллельмон появляется в неожиданных местах и
в неожиданное время, предвещая миру хаос. Поэтому
исследовательские группы считают само его появление
бедствием. Один из особых приёмов Параллельмона —
«Поглощающий взрыв»: луч из глаз, поглощающий
дигимонов. Всё, что не является дигимоном и попадает
под этот луч, отбрасывается в другое измерение. Ещё
один приём — «Бесконечный транс»: Параллельмон
открывает вокруг врага бесчисленные врата и атакует
из них в одностороннем порядке."
"3","machine_phrase","данный/данные","данных","dialogue","addcont_03_text01","message/d310.mbe/000_Sheet1.csv","73","d310_060_090","char_OMEGAMON-X","The vast amount of data consumed the Digital World's resources—
at a rate ultimately believed to be unsustainable.","Огромный объем данных потреблял ресурсы цифрового мира.
темпами, которые в конечном итоге считались неустойчивыми."
"3","machine_phrase","относительно/касательно","относительно","dialogue","addcont_03_text01","message/d310.mbe/000_Sheet1.csv","81","d310_060_170","char_SIMMONS","I see. So, basically, you've been divided by practical and
ideological differences concerning this X Program.","Я понимаю. Итак, по сути, вас разделили на практические и
идеологические разногласия относительно этой X-программы."
"3","machine_phrase","является/являются","является","dialogue","addcont_03_text01","message/d310.mbe/000_Sheet1.csv","104","d310_080_090","char_SIMMONS","However, whether something is logically coherent and
whether it is an optimal solution are seperate matters altogether.","Однако является ли что-то логически последовательным и
оптимальное ли это решение – это вообще отдельный вопрос."
"3","machine_phrase","является/являются","являются","dialogue","addcont_03_text01","message/d310.mbe/000_Sheet1.csv","132","d310_100_220","char_SIMMONS","It isn't logical at all, but feelings never are.","Это совсем не логично, но чувства никогда таковыми не являются."
"3","machine_phrase","является/являются","является","dialogue","addcont_03_text01","message/d320.mbe/000_Sheet1.csv","6","d320_010_050","char_DUKEMON_X","The X Antibody is no instrument of divine will.
It is a program, no more and no less.","Антитело X не является инструментом божественной воли.
Это программа, не больше и не меньше."
"3","machine_phrase","присутствие/наличие","наличие","dialogue","addcont_03_text01","message/d320.mbe/000_Sheet1.csv","58","d320_030_080","char_JESMON_X","Since possessing the X Antibody is a matter of life
and death, there are many who try to take it by force.","Поскольку наличие антитела X — это вопрос жизни.
и смерть, многие пытаются взять ее силой."
"3","machine_phrase","является/являются","являются","dialogue","addcont_03_text01","message/d320.mbe/000_Sheet1.csv","63","d320_040_030","char_MAGNAMON_X","It seems their X Antibodies are extrinsic rather than intrinsic.","Кажется, их X-антитела являются скорее внешними, чем внутренними."
"3","machine_phrase","присутствие/наличие","присутствие","dialogue","addcont_03_text01","message/d320.mbe/000_Sheet1.csv","80","d320_040_200","char_OMEGAMON-X","Hm... I am sensing the presence of others. Most likely, there are
more Digimon who are after the X Antibody lurking nearby.","Хм... Я чувствую чужое присутствие. Похоже, поблизости есть
и другие дигимоны, охотящиеся за X-антителом."
"3","machine_phrase","данный/данные","данные","dialogue","addcont_03_text01","message/d320.mbe/000_Sheet1.csv","99","d320_050_180","char_TOUDO","""The wonders never cease. What you said just now didn't
sound like data or facts. It sounded like a dream of yours.""","«Чудеса и правда случаются. То, что вы только что сказали,
похоже не на данные или факты, а на вашу мечту»."
"3","machine_phrase","данный/данные","Данные","dialogue","addcont_03_text01","message/d320.mbe/000_Sheet1.csv","165","d320_080_010","char_TOUDO","""The research data on Parallelmon has been stolen?!""","«Данные исследования Параллельмона были украдены?!»"
"3","machine_phrase","данный/данные","данные","dialogue","addcont_03_text01","message/d320.mbe/000_Sheet1.csv","166","d320_080_020","char_SIMMONS","""Yes... and it was Kuga who took it! That data could be the
key to a fundamental theory of travel through space-time.""","«Да... Их забрал Куга! Эти данные могут стать ключом
к фундаментальной теории путешествий в пространстве-времени»."
"3","machine_phrase","данный/данные","данные","dialogue","addcont_03_text01","message/d320.mbe/000_Sheet1.csv","167","d320_080_030","char_SIMMONS","""I don't know his motives, but this is a disaster!
That data could've been our ticket out of this hellish scenario!""","«Я не знаю его мотивов, но это катастрофа!
Эти данные могли стать нашим билетом из этого кошмара!»"
"3","machine_phrase","данный/данные","Данные","dialogue","addcont_03_text01","message/d320.mbe/000_Sheet1.csv","171","d320_080_070","char_DUKEMON_X","Research data on Parallelmon...
Travel through space-time...","Данные исследования Параллельмон...
Путешествие в пространстве-времени..."
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","addcont_03_text01","message/d320.mbe/000_Sheet1.csv","172","d320_080_080","char_ULFORCEVDRAMON_X","That will prove useful information indeed!","Это действительно окажется полезная информация!"
"3","machine_phrase","данный/данные","данные","dialogue","addcont_03_text01","message/d330.mbe/000_Sheet1.csv","3","d330_010_020","char_TOUDO","Over here! Give us the data!","Сюда! Дайте нам данные!"
"3","machine_phrase","данный/данные","данные","dialogue","addcont_03_text01","message/d330.mbe/000_Sheet1.csv","5","d330_010_040","char_DUKEMON_X","You mean to say that is where the
research data on Parallelmon is stored?","Вы хотите сказать, что именно здесь
хранятся данные исследований Параллельмона?"
"3","machine_phrase","данный/данные","Данные","dialogue","addcont_03_text01","message/d330.mbe/000_Sheet1.csv","7","d330_010_060","char_MAGNAMON_X","Data on Parallelmon?","Данные о Параллельмоне?"
"3","machine_phrase","данный/данные","Данные","dialogue","addcont_03_text01","message/d330.mbe/000_Sheet1.csv","14","d330_010_130","char_OMEGAMON-X","Enough! You are all making the same fundamental mistake!
Parallelmon's data is not ours to begin with!","Хватит! Вы все повторяете одну и ту же ошибку!
Данные Параллельмона изначально нам не принадлежат!"
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","addcont_03_text01","message/d330.mbe/000_Sheet1.csv","32","d330_030_050","char_KUGA","""Wait...! A-Are you really going to let me off so easily?!""","«Подожди...! Ты действительно собираешься так легко меня отпустить?!»"
"3","machine_phrase","данный/данные","данных","dialogue","addcont_03_text01","message/d330.mbe/000_Sheet1.csv","42","d330_040_020","char_TOUDO","""What good will it do for you to steal that data?!""","«Какая польза вам от кражи этих данных?!»"
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","addcont_03_text01","message/d330.mbe/000_Sheet1.csv","49","d330_040_090","char_SIMMONS","""...You truly are a hopeless fool.""","«...Ты действительно безнадежный дурак»."
"3","machine_phrase","данный/данные","данные","dialogue","addcont_03_text01","message/d330.mbe/000_Sheet1.csv","57","d330_050_010","char_KUGA","I'll never hand over this data! I'm the only one
who can make proper use of all that talent!","Я никогда не отдам эти данные! Только я смогу
правильно распорядиться этим талантом!"
"3","machine_phrase","данный/данные","данные","dialogue","addcont_03_text01","message/d330.mbe/000_Sheet1.csv","62","d330_050_060","char_OMEGAMON-X","They truly mean to take that data by force...
That man is in danger. We must help!","Они и правда собираются забрать данные силой...
Этот человек в опасности. Нужно помочь!"
"3","machine_phrase","данный/данные","данные","dialogue","addcont_03_text01","message/d340.mbe/000_Sheet1.csv","11","d340_010_037","char_ULFORCEVDRAMON_X","Now, I must ask you to hand over that data.
Rest assured that we will use it for what is absolutely right!","А теперь прошу передать эти данные.
Будьте уверены, мы используем их совершенно правильно!"
"3","machine_phrase","данный/данные","данные","dialogue","addcont_03_text01","message/d340.mbe/000_Sheet1.csv","13","d340_010_050","char_ULFORCEVDRAMON_X","Now, I must ask you to hand over that data.
Rest assured that we will use it for what is absolutely right!","А теперь прошу передать эти данные.
Будьте уверены, мы используем их совершенно правильно!"
"3","machine_phrase","данный/данные","данные","dialogue","addcont_03_text01","message/d350.mbe/000_Sheet1.csv","27","d350_020_140","char_SIMMONS","Parallelmon was capable of controlling time through their own body.
It seems they were able to compress their own data.","Параллельмоны управляли временем через собственные тела.
Похоже, они могли сжимать свои данные."
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","addcont_03_text01","message/d350.mbe/000_Sheet1.csv","31","d350_020_180","char_ALPHAMON","...Thank you. I truly cannot thank you enough.","...Спасибо. Я действительно не знаю, как вас отблагодарить."
"3","machine_phrase","данный/данные","данными","dialogue","addcont_03_text01","message/d350.mbe/000_Sheet1.csv","47","d350_020_340","char_KUGA","Huh...? What happened to the data?!","Хм...? Что случилось с данными?!"
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","addcont_03_text01","message/digimon_chat_dlc03.mbe/000_Sheet1.csv","30","alfox_001_1_replay","char_PLAYER_M","You're really sure of yourself, huh?","Ты действительно уверен в себе, да?"
"3","machine_phrase","данный/данные","Данные","dialogue","addcont_03_text01","message/dlcep003_field.mbe/000_Sheet1.csv","36","dlc003_0090_0020","char_JESMON_X","{next}[Make Jesmon (X Antibody) (Data) your ally.]","{next}[Сделать Джесмона (X-антитело) (Данные) союзником.]"
"3","machine_phrase","данный/данные","данными","dialogue","addcont_03_text01","message/dlcep003_field.mbe/000_Sheet1.csv","63","dlc003_0160_0020","char_SIMMONS","Do you remember my research on phase electron interference?
This program is a prototype packed with the most recent research data.","Помнишь мои исследования фазово-электронной интерференции?
Эта программа — прототип с новейшими исследовательскими данными."
"3","machine_phrase","данный/данные","данные","profile","addcont_03_text01","text/digimon_profile_dlc03.mbe/000_Sheet1.csv","5","digimon_0432_profile","","An Armor Holy Knight Digimon that has Digivolved
through the power of the Digi-Egg of Miracles.
Imbued with the attribute of Metal and made of
the super-metal Chrondigizoit, this Digi-Egg holds
immense defensive capability and offensive might
on par with, if not exceeding, that of Mega
Digimon. True to its name, gaining the wondrous
power of the Digi-Egg of Miracles would allow
one to overcome any crisis. Magnamon uses its
special move Plasma Shot to fire a ball of pure
plasma, and Shining Gold Solar Storm to explode
condensed air into golden laser beams that
sweep away surrounding foes.

■Effects of the X Antibody on Magnamon's DigiCore:
Its one-of-a-kind Chrondigizoid grows stronger the
more it is tempered. Magnamon's virtual super-
metal is fully integrated into the Digimon's body,
growing and atrophying just like ordinary muscle
tissue. This miraculous Digivolution is thought to
have been achieved through the unique properties
of Chrondigizoid created close to its natural state
using ancient techniques (the Digi-Egg of Miracles)
which allows it to integrate with living creatures, in
combination with Magnamon's own power. By
tensing its Chrondigizoid muscles, it can temporarily
transform into a glimmering Gold Digizoid state,
offering absolute defensive power capable of
withstanding physical and even data-disintegrating
attacks. Furthermore, this Gold Digizoid state bears
properties akin to Huanglong Ore, the special
mineral Chrondigizoid is formed from that boasts
unparalleled, absolute hardness. Its perfect
defense is accompanied by a specific gravity
unsuited to Digimon, but Magnamon is able to
overcome this by thoroughly tempering its
Chrondigizoid.","Бронированный дигимон-Святой Рыцарь, эволюционировавший
силой Дигиментала Чудес. Этот Дигиментал наделён
атрибутом Металла и состоит из сверхметалла хрондигизоита,
поэтому его оборонительный потенциал и наступательная
мощь не уступают, а возможно и превосходят, дигимонов
уровня Абсолютный. В соответствии с названием сила
Дигиментала Чудес позволяет преодолеть любой кризис.
Магнамон использует «Плазменный выстрел», выпуская шар
чистой плазмы, и «Сияющую золотую солнечную бурю»,
превращающую сжатый воздух в золотые лазерные лучи,
которые сметают окружающих врагов.

■Влияние X-антитела на ДигиЯдро Магнамона:
Его единственный в своём роде хрондигизоид становится
тем прочнее, чем сильнее закаляется. Виртуальный
сверхметалл полностью встроен в тело дигимона и растёт
или атрофируется подобно обычной мышечной ткани. Считается,
что эта чудесная эволюция стала возможна благодаря
хрондигизоиду, созданному древними техниками почти в
естественном состоянии (Дигиментал Чудес), что позволило
ему соединиться с живым существом вместе с собственной
силой Магнамона. Напрягая хрондигизоидные мышцы, он
временно переходит в мерцающее состояние золотого дигизоида
и получает абсолютную защиту, способную выдерживать как
физическое разрушение, так и атаки, распадающие данные.
Это состояние обладает свойствами, подобными руде Хуанлун,
особому минералу, из которого образуется хрондигизоид с
непревзойдённой твёрдостью. Такая идеальная защита слишком
тяжела для дигимона, но Магнамон преодолевает это полной
закалкой своего хрондигизоида."
"3","machine_phrase","данный/данные","данные","profile","addcont_03_text01","text/digimon_profile_dlc03.mbe/000_Sheet1.csv","6","digimon_0449_profile","","A Mutant Digimon that can travel freely between
Digital Worlds in different dimensions. This baleful
existence devours the data of Digimon in the worlds
it crosses over to, and its purpose is a mystery.
Parallelmon appears in unexpected places at
unexpected times, and its coming heralds
pandemonium for the world. As such, research teams
consider its very appearance to be a calamity. One of
Parallelmon's special moves is Absorbent Bang, which
fires a beam from its eyes that absorbs Digimon.
Anything besides Digimon hit by this beam is flung to
some other dimension. It also has Endless Trance,
which attacks unilaterally from the countless gates it
opens around the enemy.","Дигимон-мутант, свободно перемещающийся между
Цифровыми мирами разных измерений. Это зловещее
существо пожирает данные дигимонов в мирах,
куда проникает, а его истинная цель остаётся тайной.
Параллельмон появляется в неожиданных местах и
в неожиданное время, предвещая миру хаос. Поэтому
исследовательские группы считают само его появление
бедствием. Один из особых приёмов Параллельмона —
«Поглощающий взрыв»: луч из глаз, поглощающий
дигимонов. Всё, что не является дигимоном и попадает
под этот луч, отбрасывается в другое измерение. Ещё
один приём — «Бесконечный транс»: Параллельмон
открывает вокруг врага бесчисленные врата и атакует
из них в одностороннем порядке."
"3","machine_phrase","является/являются","является","digitter","addcont_03_text01","text/digitter_message_dlc03.mbe/000_Sheet1.csv","5","dlc_030_020_10","","Chaos itself is Parallelmon's territory... I imagine they seek to
expand it even further.","Хаос сам по себе является территорией Параллельмона... Я думаю, они стремятся
расширить его еще больше."
"3","machine_phrase","довольно/действительно/различные перегруз","довольно","dialogue","addcont_17_text01","message/digimon_chat_dlc17.mbe/000_Sheet1.csv","12","omez_001_1_replay","char_PLAYER_M","","Честно говоря, выглядит довольно злодейски."
"3","machine_phrase","данный/данные","данных","profile","addcont_17_text01","text/digimon_profile_dlc17.mbe/000_Sheet1.csv","7","digimon_0713_profile","","","Габумон, эволюционировавший в вирусного дигимона. Шкура
Габумона (чёрного), похоже, создана из данных, собранных
у вирусного Гарурумона. Габумон (чёрный) может быть диким
и непокорным, но становится застенчивым и робким, если
снять с него шкуру. Поэтому его настоящий облик остаётся
тайной."
"3","machine_phrase","присутствие/наличие","наличии","dialogue","app_text01","message/analyse.mbe/000_Sheet1.csv","26","digimonride_notarget","char_DIGIVICE","No DigiRide-capable Digimon available.","В наличии нет Дигимон с поддержкой ДигиРайд."
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","app_text01","message/arena01.mbe/000_Sheet1.csv","20","arena01_f001_003_030","char_ETEMON","""Monzaemon and Friends"" are here! They sure do look
familiar, but I'll be damned if I can remember 'em!","""Монзаэмон и друзья"" уже здесь! Они действительно выглядят
знакомыми, но будь я проклят, если смогу их вспомнить!"
"3","machine_phrase","довольно/действительно/различные перегруз","довольно","dialogue","app_text01","message/arena01.mbe/000_Sheet1.csv","56","arena01_f001_007_030","char_ETEMON","Coincidence? Or strategy? They had one bye after another!
Are they any good? Who knows? That's quite a smell, though!","Совпадение? Или стратегия? Они прощались одно за другим! Хороши
ли они? Кто знает? Хотя это довольно неприятный запах!"
"3","machine_phrase","довольно/действительно/различные перегруз","довольно","dialogue","app_text01","message/arena01.mbe/000_Sheet1.csv","95","arena01_f001_011_040","char_TITAMON","It has been a while, kid! I am rather busy, though, so
let's hurry up and finish this thing, already!","Давно не виделись, малыш! Однако я довольно занят, так что давай
поторопимся и закончим это дело, уже сейчас!"
"3","machine_phrase","довольно/действительно/различные перегруз","довольно","dialogue","app_text01","message/arena01.mbe/000_Sheet1.csv","134","arena01_f001_016_040","char_LOPMON","No way! It's them again! I can't believe it. Well, it makes
absolutely no sense, but I guess it's pretty hilarious!","Ни за что! Это снова они! Я не могу в это поверить. Ну, в этом
нет абсолютно никакого смысла, но я думаю, это довольно весело!"
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","app_text01","message/arena01.mbe/000_Sheet1.csv","188","arena01_f001_023_040","char_RAPIDMON_ARMOR","While we do wish to prove our strength, nothing makes us
happier than simply facing you in battle!","Хотя мы действительно хотим доказать свою силу, ничто не делает
нас счастливее, чем просто встретиться с вами в бою!"
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","app_text01","message/arena01.mbe/000_Sheet1.csv","244","arena01_m320_030_020","char_ETEMON","Without further ado, we welcome the Shinjuku Dungeon Grand
Prix Champion! A fighter truly worthy of the title!","Без лишних слов, встречаем чемпиона Гран-при подземелья Синдзюку!
Боец, действительно достойный этого титула!"
"3","machine_phrase","данный/данные","данные","dialogue","app_text01","message/battle.mbe/000_Sheet1.csv","10","1032010002","char_SIMMONS","Huh... So it would seem there's more impact than previously
imagined... We're getting some excellent data...!","Ха... Похоже, влияние больше, чем предполагалось ранее... Мы
получаем отличные данные...!"
"3","machine_phrase","данный/данные","данные","dialogue","app_text01","message/battle.mbe/000_Sheet1.csv","11","1032010003","char_SIMMONS","Amazing...! Amazing...! This will yield some truly invaluable data!","Удивительно...! Удивительно...! Это даст поистине бесценные
данные!"
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","app_text01","message/battle.mbe/000_Sheet1.csv","329","1200020150","char_MINERVAMON","Ugh... My brother and sister are really showing up...","Уф... Мои брат и сестра действительно явились..."
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","app_text01","message/battle.mbe/000_Sheet1.csv","525","2110099104","char_DUKEMON","This is what I, Gallantmon, am truly capable of!","Это то, на что я, Галантмон, действительно способен!"
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","app_text01","message/d01.mbe/000_Sheet1.csv","45","f_d0101_0120_0040","char_SOCERIMON","...then GraceNovamon might actually appear.","... тогда Грейсеновамон действительно может появиться."
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","app_text01","message/d01.mbe/000_Sheet1.csv","59","f_d0101_0160_0014","char_WIZARDMON","Do you truly understand?","Ты действительно понимаешь?"
"3","machine_phrase","довольно/действительно/различные перегруз","довольно","dialogue","app_text01","message/d02.mbe/000_Sheet1.csv","12","f_d0201_0040_0010","char_PEGASMON","Well! An unfamiliar face. You have quite a unique
appearance... Are you a new arrival, perhaps?","Что ж! Незнакомое лицо. У вас довольно уникальная внешность...
Возможно, вы новоприбывший?"
"3","machine_phrase","довольно/действительно/различные перегруз","довольно","dialogue","app_text01","message/d02.mbe/000_Sheet1.csv","114","f_d0201_0480_0030","char_LEOMON","But the footing's kind of dangerous, since it's all steel frame,
so getting to see that view may be tricky! Hahaha!","Но опора довольно опасная, так как вся она сделана из стали,
поэтому полюбоваться этим видом может быть непросто! Хахаха!"
"3","machine_phrase","довольно/действительно/различные перегруз","Действительно","dialogue","app_text01","message/d02.mbe/000_Sheet1.csv","119","f_d0201_0490_0020","char_PANDAMON","Indeed... We must be vigilant about not letting our defenses falter.","Действительно... Мы должны быть бдительны и не позволять нашей
обороне ослабевать."
"3","machine_phrase","довольно/действительно/различные перегруз","довольно","dialogue","app_text01","message/d02.mbe/000_Sheet1.csv","131","f_d0201_0550_0030","char_IMPMON","So ya took down the Titans...? Yeah, I guess that's pretty impressive...","Итак, тебе удалось победить Титанов...? Да, думаю, это довольно
впечатляет..."
"3","machine_phrase","довольно/действительно/различные перегруз","довольно","dialogue","app_text01","message/d02.mbe/000_Sheet1.csv","151","f_d0201_0600_0030","char_BAKUMON","...but their standard of living is pretty hard for us to bear.","..но нам довольно трудно выносить их уровень жизни."
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","app_text01","message/d02.mbe/000_Sheet1.csv","186","f_d0201_0680_0010","char_FALCOMON","While it does feel like life is more rich here since the
Titans arrived...","Хотя действительно кажется, что с тех пор, как прибыли Титаны,
жизнь здесь стала более процветающей..."
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","app_text01","message/d02.mbe/000_Sheet1.csv","189","f_d0201_0680_0040","char_FALCOMON","...we really need to come up with a more effective solution.","..нам действительно нужно найти более эффективное решение."
