package,file,row_id,current_ru,replacement,reason,disposition
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0905_0120_0020,"Это довольно необычное место. Даже если вы упадете, вы просто
вернетесь туда, откуда начали. Просто продолжайте пытаться двигаться вперед.","Место необычное: если упадёте, вернётесь к началу.
Просто пробуйте снова и двигайтесь вперёд.",убрана калька продолжайте пытаться двигаться вперёд,confirmed_style_rewrite
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0905_0130_0030,"Мне действительно жаль лорда Вулканусмона... Пожалуйста, просто
сделай, что можешь, хорошо?","Прошу прощения за лорда Вулканусмона...
Просто сделай всё, что сможешь, ладно?","sorry about Lord Vulcanusmon означает извинение за него, а не сожаление о нём",confirmed_style_rewrite
patch_text01,message/d12.mbe/000_Sheet1.csv,f_d1205_0020_0040,"Вы единственные, на кого я могу положиться, поэтому, хотя я и
ненавижу создавать вам проблемы, я действительно надеюсь, что вы сможете помочь.","Вы — моя единственная надежда. Не хочу вас обременять,
но очень прошу помочь.",hate to make trouble и hope you can help были калькированы,confirmed_style_rewrite
patch_text01,message/field_text.mbe/000_Sheet1.csv,dummy_dlc010_0490,Я действительно... не хочу ссориться...,Я правда... не хочу сражаться...,"fight означает сражаться, а не ссориться",confirmed_style_rewrite
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_tutorial_1002_0020,"Эти функции основаны на теориях, данных нам доктором Юки.
Действительно, его изобретения внесли большой вклад в развитие общества.","Эти функции основаны на теориях доктора Юки.
Его изобретения внесли огромный вклад в развитие общества.",убраны буквальные каркасы theories given to us и indeed,confirmed_style_rewrite
patch_text01,message/m010.mbe/000_Sheet1.csv,m010_040_090,Ты действительно чувствуешь страх и гнев толпы.,Страх и гнев толпы чувствуются даже отсюда.,"you can feel описывает атмосферу, а не утверждает чувство героя",confirmed_style_rewrite
patch_text01,message/m040.mbe/000_Sheet1.csv,m040_030_090,"Я имею в виду, твой... Напомни, как это называют современные дети?
""Косплей""? Это довольно щеголеватый вид, я отдаю тебе должное...","Я о твоём... как это сейчас молодёжь называет? ""Косплей""?
Надо признать, выглядит стильно...",dapper look и I'll give you that были переведены буквальными оборотами,confirmed_style_rewrite
patch_text01,message/m050.mbe/000_Sheet1.csv,m050_030_070,"Ага, ну, я могу работать в любое время. Жизнь
частного детектива довольно гибкая в этом плане.","Ну, работать я могу когда угодно. У частного сыщика
свободный график.",flexible life было калькировано как гибкая жизнь,confirmed_style_rewrite
patch_text01,message/m070.mbe/000_Sheet1.csv,m070_040_020,"Не могу поверить, что это на самом деле происходит! Ты действительно
здесь, во плоти! Настоящая фазово-электронная форма жизни!","Не верю своим глазам! Ты здесь, прямо передо мной!
Настоящая фазово-электронная форма жизни!",двойной буквальный усилитель делал эмоциональную реплику механической,confirmed_style_rewrite
patch_text01,message/m090.mbe/000_Sheet1.csv,m090_080_260,"Уже довольно поздно. Давайте сегодня на этом остановимся и
решим, что делать дальше, завтра.","Уже поздно. Давайте на сегодня закончим,
а завтра решим, что делать дальше.","call it a night требовал разговорной, а не буквальной формулировки",confirmed_style_rewrite
patch_text01,message/m100.mbe/000_Sheet1.csv,m100_030_190,"Он всё ещё на стадии прототипа, так что он довольно громоздкий,
это точно.","Правда, это пока лишь прототип, поэтому он получился
довольно громоздким.",убран повтор местоимения и восстановлена естественная причинная связка,confirmed_style_rewrite
patch_text01,message/m120.mbe/000_Sheet1.csv,m120_030_060,Мы сделали это! Мы действительно в Цифровом Мире!,Получилось! Мы и правда в Цифровом мире!,we made it было ошибочно переведено как мы сделали это,confirmed_style_rewrite
patch_text01,message/m120.mbe/000_Sheet1.csv,m120_080_110,"Если это действительно так, вы должны принести мне
доказательство.","Если это правда, принесите мне доказательства.",proof требовало множественной/собирательной формы доказательства,confirmed_style_rewrite
patch_text01,message/m150.mbe/000_Sheet1.csv,m150_170_060,"Полагаю, вы правы, да. Вы все действительно очень помогли. Я
молюсь, чтобы вы благополучно вернулись в свой мир.","Полагаю, вы правы. Вы все оказали нам огромную помощь.
Надеюсь, вы благополучно вернётесь в свой мир.","pray здесь означает надежду, а буквальное молюсь звучало неестественно",confirmed_style_rewrite
patch_text01,message/m160.mbe/000_Sheet1.csv,m160_040_030,"Несомненно, это всего лишь проблеск истинных возможностей
Великого Хранителя. Действительно, удачный день...","Несомненно, это лишь малая часть истинных возможностей
Великого Хранителя. Какой счастливый день...",fortuitous day indeed был переведён калькой с неверным порядком слов,confirmed_style_rewrite
patch_text01,message/m170.mbe/000_Sheet1.csv,m170_065_140,...Я действительно сожалею обо всем этом.,...Мне правда очень жаль.,real sorry не требует формального сожалею обо всём этом,confirmed_style_rewrite
patch_text01,message/m170.mbe/000_Sheet1.csv,m170_090_100,Я действительно недооценивал вас всех.,Я сильно в вас ошибался.,"misjudged означает ошибся в оценке, а не обязательно недооценил",confirmed_style_rewrite
patch_text01,message/m180.mbe/000_Sheet1.csv,m180_030_030,"Если да, то нам действительно лучше поторопиться! Давай! Инори,
оставайся позади меня!","Если так, надо спешить! Вперёд! Инори, не отходи от меня!",убрана калька we'd really better hurry; stay behind me передано по смыслу,confirmed_style_rewrite
patch_text01,message/m180.mbe/000_Sheet1.csv,m180_040_020,"Я была застигнута врасплох. Мне бы действительно пришлось туго,
если бы вы не подоспели!",Они застали меня врасплох. Без вас мне пришлось бы туго!,пассивная калька была застигнута делала живую реплику механической,confirmed_style_rewrite
patch_text01,message/m235.mbe/000_Sheet1.csv,m235_010_110,"Теперь, когда вы говорите... кажется, я действительно видел вас
где-то раньше...","Раз уж вы об этом заговорили... кажется,
я где-то вас видел...",now that you mention it было переведено буквально,confirmed_style_rewrite
patch_text01,message/m260.mbe/000_Sheet1.csv,m260_040_030,"И если конфликт начался из-за контроля над этим ресурсом, то это
действительно может быть сложной проблемой.","Если конфликт начался из-за борьбы за этот ресурс,
решить его будет непросто.",громоздкий условный каркас был калькой с английского,confirmed_style_rewrite
patch_text01,message/m400.mbe/000_Sheet1.csv,m400_011_020,"Однако двое поссорились, и текущая ситуация довольно
напряжённая.","Однако они поссорились, и теперь обстановка
крайне напряжённая.",current situation было переведено канцелярским текущая ситуация,confirmed_style_rewrite
patch_text01,message/rumor_npc.mbe/000_Sheet1.csv,r_d0502_0020_0060,Это огромное место... Я действительно выматываюсь...,Ну и огромное же место... Совсем выбился из сил...,wears me out было передано неестественной возвратной конструкцией,confirmed_style_rewrite
patch_text01,message/s010_156.mbe/000_Sheet1.csv,s010_156_605,"Ты действительно собираешься бороться с этим?! Извини! Все, что
я могу предложить, это моральную поддержку. Удачи!","Ты правда собираешься с ним сражаться?! Прости,
я могу поддержать тебя только морально. Удачи!",fight ошибочно передано как бороться с этим; убрана калька all I can offer,confirmed_style_rewrite
patch_text01,message/s010_180.mbe/000_Sheet1.csv,s010_180_070,"Хм... Твой костюм тоже довольно хорош, но те легенды, которые я
только что видел, были еще лучше.","Хм... Твой костюм тоже неплох, но тем легендарным
косплеерам он всё же уступает.",those legends было переведено буквальным те легенды без опорного слова,confirmed_style_rewrite
patch_text01,message/s020_013.mbe/000_Sheet1.csv,s020_013_140,"О, дизайн был довольно простым, хотя и сделан из драгоценного
Синего дигизоида.","Кольцо было простым, но его сделали из драгоценного
синего дигизоида.","материал ошибочно относился к дизайну, а не к кольцу",confirmed_style_rewrite
patch_text01,message/s020_013.mbe/000_Sheet1.csv,s020_013_290,"Видите ли, синий хрондигизойт - довольно драгоценный металл.
Кольцо должно говорить само за себя.","Синий хрондигизойт — очень ценный металл.
Кольцо скажет всё за меня.",довольно драгоценный — неестественная калька quite precious,confirmed_style_rewrite
patch_text01,message/s020_013.mbe/000_Sheet1.csv,s020_013_380,"Действительно. Я не могу представить, чтобы Нептунемон
предпринял необдуманные действия... Ах, у меня получилось!","Верно. Нептунемон не стал бы действовать необдуманно...
А, придумала!","I have it означает придумала, а не у меня получилось",confirmed_style_rewrite
patch_text01,message/s020_018.mbe/000_Sheet1.csv,s020_018_1050,"Что ж, мы действительно многому научились. Спасибо за вашу
помощь! Вот. Возьмите это за беспокойство.","Что ж, мы многому научились. Спасибо за помощь!
Вот, возьмите это в награду за труды.","take this for your trouble означает награду, а не плату за беспокойство",confirmed_style_rewrite
patch_text01,message/s030_030.mbe/000_Sheet1.csv,s030_030_320,"Действительно... Можно сказать, что чрезмерное сокрытие нашей
базы, в конце концов, сделало диалог практически невозможным.","Выходит, мы так усердно скрывали свою базу,
что теперь почти невозможно вести переговоры.",overzealous concealment было переведено тяжёлой номинальной калькой,confirmed_style_rewrite
patch_text01,message/s030_030.mbe/000_Sheet1.csv,s030_030_470,"Я действительно ценю, что ты заботишься о таких вещах! Кричи,
кричи!",Спасибо тебе за такую заботу! Квок-квок!,"Squawk — птичий возглас, а не повелительное Кричи",confirmed_style_rewrite
patch_text01,message/s030_030.mbe/000_Sheet1.csv,s030_030_480,"Мои сладости ручной работы действительно стали популярными.
Другим, похоже, они действительно нравятся. Хе-хе!","Мои домашние сладости стали очень популярны.
Похоже, всем они нравятся. Хе-хе!",убран двойной механический усилитель действительно,confirmed_style_rewrite
patch_text01,message/s040_160.mbe/000_Sheet1.csv,s040_160_040,"Конечно, боюсь. Я имею в виду, мне действительно пришлось
расправиться со своим старшим братом...","Ещё бы. Мне ведь пришлось одолеть собственного
старшего брата...",of course I am отвечало на подавленность; боюсь было смысловой ошибкой,confirmed_style_rewrite
patch_text01,message/s040_160.mbe/000_Sheet1.csv,s040_160_300,"Ух... Но, эй, я действительно немного поработал, так что это
должно означать, что я заслуживаю хотя бы перекуса, верно?","Ух... Но я ведь немного поработал. Значит,
хотя бы перекус заслужил, верно?",английский причинный каркас был перенесён буквально,confirmed_style_rewrite
patch_text01,message/s050_039.mbe/000_Sheet1.csv,s050_039_140,"Я надеялся, что ты сделаешь больше, чем просто посмотришь. Может
быть, действительно найдешь это и принесешь обратно?","Я надеялся, что ты не просто посмотришь,
а найдёшь его и принесёшь обратно.",maybe actually find it было переведено неестественной вставкой действительно,confirmed_style_rewrite
patch_text01,message/s050_043.mbe/000_Sheet1.csv,s050_043_580,"Что? Ты действительно собираешься мне вот так врать? Здесь нет
никаких украшений... вот...","Что? Думаешь, я поверю? Нет здесь никаких...
украшений...",here в оборванной реплике ошибочно превратилось в вот,confirmed_style_rewrite
patch_text01,message/s050_043.mbe/000_Sheet1.csv,s050_043_590,"Оно действительно блестящее и красивое. Примерно того же
размера, что и у тебя... вот оно...","Оно ярко сверкает и очень красивое. Размером примерно
с то, что... у тебя в руках...",got there ошибочно переведено как вот оно,confirmed_style_rewrite
patch_text01,message/s050_152.mbe/000_Sheet1.csv,s050_152_720,"ДА. Да, это так. Я действительно горю желанием что-нибудь
сделать с этими ребятами...","Да. Именно. Мне не терпится что-нибудь сделать
с этими типами...",случайный верхний регистр и калька eager to do something исправлены,confirmed_style_rewrite
patch_text01,message/s050_176.mbe/000_Sheet1.csv,s050_176_290,"Позволит ли это вам действительно оценить их мастерство?
Полагаю, они говорят, что человек сам создает свою удачу.","Неужели так можно оценить их мастерство?
Впрочем, говорят, каждый сам куёт свою удачу.",one makes one's own luck требовало русской идиомы,confirmed_style_rewrite
patch_text01,message/s050_176.mbe/000_Sheet1.csv,s050_176_380,"Это был действительно жестокий бой! Как я и ожидал от верного
друга Меркуримона.","Вот это была битва! Как и ожидалось
от верного друга Меркуримона.","fierce fight — ожесточённая битва, а не жестокий бой",confirmed_style_rewrite
patch_text01,message/s070_056.mbe/000_Sheet1.csv,s070_056_200,"Подождите... Мне действительно понравился тот мотоцикл в фильме
на днях! Это было супер круто!","Погоди... Мне так понравился тот мотоцикл из недавнего
фильма! Он был просто супер!",исправлены обращение и согласование местоимения с мотоциклом,confirmed_style_rewrite
patch_text01,message/s070_167.mbe/000_Sheet1.csv,s070_167_620,"Это было твое представление о веселье...? Ты действительно
нечто особенное!",Это ты называешь весельем...? Ну ты даёшь!,you really are something else было переведено буквальной калькой,confirmed_style_rewrite
patch_text01,message/s095_077.mbe/000_Sheet1.csv,s095_077_150,"Действительно. Я почти так же беспокоюсь об их благополучии, как
и о руде хрондигизойт.","Именно. За них я беспокоюсь почти так же,
как за руду хрондигизойта.",исправлены канцеляризм благополучие и родительный падеж термина,confirmed_style_rewrite
patch_text01,message/s095_077.mbe/000_Sheet1.csv,s095_077_230,"Действительно. Я продолжу ждать, пока не поступит сообщение от
Лоадер Лиомон.",Именно. Я продолжу ждать вестей от ЛоадерЛеомона.,communication comes in переведено механически; имя было разорвано пробелом,confirmed_style_rewrite
patch_text01,message/s095_077.mbe/000_Sheet1.csv,s095_077_280,"Действительно. Я продолжу ждать, пока не поступит сообщение от
Лоадер Лиомон.",Именно. Я продолжу ждать вестей от ЛоадерЛеомона.,контекстный дубль той же механической реплики,confirmed_style_rewrite
patch_text01,message/s100_088.mbe/000_Sheet1.csv,s100_088_130,"Да, но они довольно устойчивы, поэтому я не беспокоюсь, что им
причинили вред.","Да, но они очень живучие, так что вряд ли
с ними что-то случилось.",resilient и come to harm были переведены канцелярскими кальками,confirmed_style_rewrite
patch_text01,message/s100_088.mbe/000_Sheet1.csv,s100_088_370,"Мои помощники довольно крутые, тебе не кажется? Я уверен, что
они смогут тебе помочь.","Мои помощники сильны, не правда ли?
Уверен, они вам помогут.",исправлены разговорная калька pretty tough и скачок тебе при формальном обращении,confirmed_style_rewrite
patch_text01,message/s100_178.mbe/000_Sheet1.csv,s100_178_070,"Да, я полагаю, что так. Все это довольно хлопотно, да?","Пожалуй. Всё это весьма хлопотно, не правда ли?",убран двойной буквальный yes и восстановлена манера персонажа,confirmed_style_rewrite
patch_text01,message/s110_091.mbe/000_Sheet1.csv,s110_091_220,"Похоже, нас заметили... Я действительно предпочел бы сохранить
это в тайне!","Похоже, нас заметили... Я предпочёл бы
не привлекать внимания!",keep this quiet было переведено буквальным сохранить это в тайне,confirmed_style_rewrite
patch_text01,message/s110_091.mbe/000_Sheet1.csv,s110_091_240,"Это довольно тяжелая работа... В следующий раз давайте с самого
начала обо всем позаботимся должным образом!","Ну и морока... В следующий раз сразу
сделаем всё как следует!",quite the chore и properly from the start были переведены механически,confirmed_style_rewrite
patch_text01,message/s110_093.mbe/000_Sheet1.csv,s110_093_270,"Это довольно большая броня для такого маленького коротышки. Я
ненавижу жалких притворщиков вроде тебя!","Какая громоздкая броня для такого коротышки.
Терпеть не могу жалких самозванцев вроде тебя!",rather big armor было переведено буквальным довольно большая,confirmed_style_rewrite
patch_text01,message/s110_098.mbe/000_Sheet1.csv,s110_098_430,"Похоже, мы произвели довольно благоприятное впечатление.","Похоже, мы произвели хорошее впечатление.",довольно благоприятное впечатление — канцелярская калька,confirmed_style_rewrite
patch_text01,message/s110_100.mbe/000_Sheet1.csv,s110_100_750,"Мы с броней в довольно плохом состоянии,
но острый удар вкуса помог мне прийти в себя!","И я, и моя броня изрядно потрёпаны,
но остренькое меня взбодрило!",spicy kick ошибочно переведено как острый удар вкуса,confirmed_style_rewrite
patch_text01,message/s110_101.mbe/000_Sheet1.csv,s110_101_450,"Похоже, что цифровые яйца - довольно сложные предметы для
работы.","Похоже, с цифровыми яйцами непросто работать.",items to work with было переведено буквальным предметы для работы,confirmed_style_rewrite
patch_text01,message/s110_101.mbe/000_Sheet1.csv,s110_101_470,"Здесь действительно можно выплавлять металл хрондигизойт. Однако
есть еще одна проблема.","Здесь и правда можно выплавлять хрондигизойтовый металл.
Но есть ещё одна проблема.",исправлена несогласованная конструкция металл хрондигизойт,confirmed_style_rewrite
patch_text01,message/s110_102.mbe/000_Sheet1.csv,s110_102_340,"Хм... Действительно, это условие, предложенное оппонентом.
Отклонять его может быть невежливо...","Хм... Верно, это условие поставил соперник.
Отказаться было бы невежливо...",condition offered by opponent было переведено тяжёлой пассивной калькой,confirmed_style_rewrite
patch_text01,message/s200_146.mbe/000_Sheet1.csv,s200_146_160,"Похоже, вы знаете о фазово-электронных формах жизни больше, чем
мы, так что это действительно полезно.","Вы знаете о фазово-электронных формах жизни больше нас,
и это очень помогает.",it's really helpful было переведено без естественной русской связки,confirmed_style_rewrite
patch_text01,message/s200_148.mbe/000_Sheet1.csv,s200_148_440,"Да. Я действительно хочу, чтобы мы все были здесь в одной
команде.","Да. Я хочу, чтобы мы все были заодно.",on the same team here было калькировано как здесь в одной команде,confirmed_style_rewrite
patch_text01,message/s200_148.mbe/000_Sheet1.csv,s200_148_450,"Да. Я действительно хочу, чтобы мы все были здесь в одной
команде.","Да. Я хочу, чтобы мы все были заодно.",контекстный дубль той же кальки для альтернативного говорящего,confirmed_style_rewrite
patch_text01,message/s200_149.mbe/000_Sheet1.csv,s200_149_180,"Я не хотела этого говорить, но ты действительно немного
выделяешься. Или, по крайней мере, ты не выглядишь ""кибером"".","Не хотела этого говорить, но ты всё-таки выделяешься.
По крайней мере, твой образ не назовёшь ""кибернетическим"".",you don't look cyber было ошибочно превращено в существительное кибер,confirmed_style_rewrite
patch_text01,message/s910_170.mbe/000_Sheet1.csv,s910_170_030,"Норио говорит, что он здесь из прошлого. Если это правда, я
действительно не могу предложить ему никакой помощи.","Норио говорит, что прибыл из прошлого.
Если это правда, я ничем не могу ему помочь.",can't really offer him any help было переведено громоздкой калькой,confirmed_style_rewrite
patch_text01,message/s910_170.mbe/000_Sheet1.csv,s910_170_1220,"Ну, это ДЕЙСТВИТЕЛЬНО выглядит немного дешево для ""генерального
директора"", но я говорю о чем-то другом!","Ну, для ""гендиректора"" костюм и правда дешёвенький,
но я говорю о другом!",эмфаза DOES была механически перенесена на ДЕЙСТВИТЕЛЬНО,confirmed_style_rewrite
patch_text01,message/s910_170.mbe/000_Sheet1.csv,s910_170_1510,"Это тот период времени, из которого я родом? Я действительно
чувствую здесь спокойствие.",Я вернулся в своё время? Здесь мне и правда спокойнее.,time period I came from и feel a sense of calm были калькированы,confirmed_style_rewrite
patch_text01,message/s910_170.mbe/000_Sheet1.csv,s910_170_1520,"Неужели я действительно буду таким неудачником в будущем? Моя
судьба предопределена? Нет...","Неужели в будущем я стану таким неудачником?
Моя судьба уже решена? Нет...",убрана механическая связка неужели действительно буду,confirmed_style_rewrite
patch_text01,message/s910_170.mbe/000_Sheet1.csv,s910_170_1720,"Я думаю, что младший Норио беспокоился о своем будущем и
действительно стал серьезным.","Думаю, юный Норио испугался за своё будущее
и наконец взялся за ум.","got serious в контексте означает взялся за ум, а не стал серьёзным",confirmed_style_rewrite
patch_text01,message/s910_170.mbe/000_Sheet1.csv,s910_170_330,"На самом деле, теперь, когда я думаю об этом, я действительно
испытываю здесь чувство спокойствия.","Если подумать, здесь мне и правда спокойнее.",двойная калька now that I think и sense of calm сокращена,confirmed_style_rewrite
patch_text01,message/s910_171.mbe/000_Sheet1.csv,s910_171_1470,"Да, полагаю, что так. Полагаю, тогда я был довольно высокомерен.","Да, наверное. В те годы я был довольно высокомерен.",убран повтор полагаю в соседних частях одной реплики,confirmed_style_rewrite
patch_text01,message/s910_171.mbe/000_Sheet1.csv,s910_171_570,"Теперь, когда я думаю об этом... Я действительно видела женщину в
лабораторном халате некоторое время назад.","Кстати... Недавно я видела женщину
в лабораторном халате.",now that I think about it и a bit ago были переведены буквально,confirmed_style_rewrite
patch_text01,message/t01.mbe/000_Sheet1.csv,f_t0103_0100_0050,"Всё же этот город довольно увлекательный. Столько разных людей
можно видеть каждый день.","А город всё-таки интересный.
Каждый день встречаешь столько разных людей.",fascinating town и humans to see были переданы механически,confirmed_style_rewrite
